File,Class
new_1_1.mat,0.934904
new_1_2.mat,0.172688
new_1_3.mat,0.299975
new_1_4.mat,0.000423
new_1_5.mat,0.463261
new_1_6.mat,0.975595
new_1_7.mat,0.463261
new_1_8.mat,0.007242
new_1_9.mat,0.720725
new_1_10.mat,0.463261
new_1_11.mat,0.122749
new_1_12.mat,0.463261
new_1_13.mat,0.463261
new_1_14.mat,0.069135
new_1_15.mat,0.908262
new_1_16.mat,0.394360
new_1_17.mat,0.463261
new_1_18.mat,0.463261
new_1_19.mat,0.497773
new_1_20.mat,0.463261
new_1_21.mat,0.463261
new_1_22.mat,0.463261
new_1_23.mat,0.463261
new_1_24.mat,0.617199
new_1_25.mat,0.284709
new_1_26.mat,0.966359
new_1_27.mat,0.460786
new_1_28.mat,0.175784
new_1_29.mat,0.936437
new_1_30.mat,0.778296
new_1_31.mat,0.077808
new_1_32.mat,0.250819
new_1_33.mat,0.109949
new_1_34.mat,0.463261
new_1_35.mat,0.672407
new_1_36.mat,0.985204
new_1_37.mat,0.464730
new_1_38.mat,0.061117
new_1_39.mat,0.463261
new_1_40.mat,0.211961
new_1_41.mat,0.035240
new_1_42.mat,0.463261
new_1_43.mat,0.419174
new_1_44.mat,0.995945
new_1_45.mat,0.463261
new_1_46.mat,0.968302
new_1_47.mat,0.669909
new_1_48.mat,0.452110
new_1_49.mat,0.463261
new_1_50.mat,0.794744
new_1_51.mat,0.103994
new_1_52.mat,0.697678
new_1_53.mat,0.059939
new_1_54.mat,0.033043
new_1_55.mat,0.961658
new_1_56.mat,0.642396
new_1_57.mat,0.463261
new_1_58.mat,0.038433
new_1_59.mat,0.020697
new_1_60.mat,0.354538
new_1_61.mat,0.059418
new_1_62.mat,0.824392
new_1_63.mat,0.351687
new_1_64.mat,0.733041
new_1_65.mat,0.001434
new_1_66.mat,0.939314
new_1_67.mat,0.316662
new_1_68.mat,0.018131
new_1_69.mat,0.065218
new_1_70.mat,0.314713
new_1_71.mat,0.256415
new_1_72.mat,0.463261
new_1_73.mat,0.511914
new_1_74.mat,0.388841
new_1_75.mat,0.017908
new_1_76.mat,0.822539
new_1_77.mat,0.023540
new_1_78.mat,0.463261
new_1_79.mat,0.982535
new_1_80.mat,0.929299
new_1_81.mat,0.081757
new_1_82.mat,0.041002
new_1_83.mat,0.995137
new_1_84.mat,0.463261
new_1_85.mat,0.463261
new_1_86.mat,0.632447
new_1_87.mat,0.463261
new_1_88.mat,0.329217
new_1_89.mat,0.035839
new_1_90.mat,0.002150
new_1_91.mat,0.018394
new_1_92.mat,0.988744
new_1_93.mat,0.495391
new_1_94.mat,0.463261
new_1_95.mat,0.950990
new_1_96.mat,0.090538
new_1_97.mat,0.055725
new_1_98.mat,0.463261
new_1_99.mat,0.921056
new_1_100.mat,0.999946
new_1_101.mat,0.989764
new_1_102.mat,0.025454
new_1_103.mat,0.043248
new_1_104.mat,0.991503
new_1_105.mat,0.950825
new_1_106.mat,0.164313
new_1_107.mat,0.034793
new_1_108.mat,0.463261
new_1_109.mat,0.794751
new_1_110.mat,0.000639
new_1_111.mat,0.844606
new_1_112.mat,0.237168
new_1_113.mat,0.974766
new_1_114.mat,0.216066
new_1_115.mat,0.062293
new_1_116.mat,0.154929
new_1_117.mat,0.863070
new_1_118.mat,0.463261
new_1_119.mat,0.463261
new_1_120.mat,0.781913
new_1_121.mat,0.171198
new_1_122.mat,0.856113
new_1_123.mat,0.000208
new_1_124.mat,0.160358
new_1_125.mat,0.448437
new_1_126.mat,0.985966
new_1_127.mat,0.942308
new_1_128.mat,0.992879
new_1_129.mat,0.533729
new_1_130.mat,0.083748
new_1_131.mat,0.463261
new_1_132.mat,0.601636
new_1_133.mat,0.978725
new_1_134.mat,0.752910
new_1_135.mat,0.061184
new_1_136.mat,0.969869
new_1_137.mat,0.127010
new_1_138.mat,0.300212
new_1_139.mat,0.947613
new_1_140.mat,0.021059
new_1_141.mat,0.375168
new_1_142.mat,0.672766
new_1_143.mat,0.022839
new_1_144.mat,0.875858
new_1_145.mat,0.916170
new_1_146.mat,0.945405
new_1_147.mat,0.463261
new_1_148.mat,0.111023
new_1_149.mat,0.053203
new_1_150.mat,0.099505
new_1_151.mat,0.999469
new_1_152.mat,0.667119
new_1_153.mat,0.463261
new_1_154.mat,0.064504
new_1_155.mat,0.005490
new_1_156.mat,0.122515
new_1_157.mat,0.828247
new_1_158.mat,0.006776
new_1_159.mat,0.349676
new_1_160.mat,0.014313
new_1_161.mat,0.323880
new_1_162.mat,0.178001
new_1_163.mat,0.782049
new_1_164.mat,0.002448
new_1_165.mat,0.463261
new_1_166.mat,0.631558
new_1_167.mat,0.463261
new_1_168.mat,0.986933
new_1_169.mat,0.879781
new_1_170.mat,0.169227
new_1_171.mat,0.005879
new_1_172.mat,0.032023
new_1_173.mat,0.546413
new_1_174.mat,0.987026
new_1_175.mat,0.039223
new_1_176.mat,0.463261
new_1_177.mat,0.463261
new_1_178.mat,0.677759
new_1_179.mat,0.860131
new_1_180.mat,0.266458
new_1_181.mat,0.885772
new_1_182.mat,0.883973
new_1_183.mat,0.463261
new_1_184.mat,0.463261
new_1_185.mat,0.679211
new_1_186.mat,0.987148
new_1_187.mat,0.613611
new_1_188.mat,0.232361
new_1_189.mat,0.234001
new_1_190.mat,0.463261
new_1_191.mat,0.211097
new_1_192.mat,0.979676
new_1_193.mat,0.984416
new_1_194.mat,0.641708
new_1_195.mat,0.001591
new_1_196.mat,0.738959
new_1_197.mat,0.463261
new_1_198.mat,0.031474
new_1_199.mat,0.976584
new_1_200.mat,0.366973
new_1_201.mat,0.605176
new_1_202.mat,0.463261
new_1_203.mat,0.310537
new_1_204.mat,0.998686
new_1_205.mat,0.463261
new_1_206.mat,0.255251
new_1_207.mat,0.744540
new_1_208.mat,0.352541
new_1_209.mat,0.463261
new_1_210.mat,0.044275
new_1_211.mat,0.019118
new_1_212.mat,0.003704
new_1_213.mat,0.948124
new_1_214.mat,0.131291
new_1_215.mat,0.921384
new_1_216.mat,0.122860
new_2_1.mat,0.567800
new_2_2.mat,0.268908
new_2_3.mat,0.564966
new_2_4.mat,0.519828
new_2_5.mat,0.941845
new_2_6.mat,0.374241
new_2_7.mat,0.965766
new_2_8.mat,0.292963
new_2_9.mat,0.553231
new_2_10.mat,0.842043
new_2_11.mat,0.007250
new_2_12.mat,0.485050
new_2_13.mat,0.097495
new_2_14.mat,0.637820
new_2_15.mat,0.723043
new_2_16.mat,0.311755
new_2_17.mat,0.203777
new_2_18.mat,0.956439
new_2_19.mat,0.383828
new_2_20.mat,0.721181
new_2_21.mat,0.462752
new_2_22.mat,0.412054
new_2_23.mat,0.807570
new_2_24.mat,0.038281
new_2_25.mat,0.025590
new_2_26.mat,0.502183
new_2_27.mat,0.533127
new_2_28.mat,0.172232
new_2_29.mat,0.547503
new_2_30.mat,0.619396
new_2_31.mat,0.378744
new_2_32.mat,0.545936
new_2_33.mat,0.221491
new_2_34.mat,0.397968
new_2_35.mat,0.490815
new_2_36.mat,0.387499
new_2_37.mat,0.794886
new_2_38.mat,0.840290
new_2_39.mat,0.443010
new_2_40.mat,0.003429
new_2_41.mat,0.433304
new_2_42.mat,0.502183
new_2_43.mat,0.812903
new_2_44.mat,0.865431
new_2_45.mat,0.611837
new_2_46.mat,0.700489
new_2_47.mat,0.782606
new_2_48.mat,0.331723
new_2_49.mat,0.341660
new_2_50.mat,0.079095
new_2_51.mat,0.641139
new_2_52.mat,0.582930
new_2_53.mat,0.212743
new_2_54.mat,0.391110
new_2_55.mat,0.873383
new_2_56.mat,0.124701
new_2_57.mat,0.502183
new_2_58.mat,0.502183
new_2_59.mat,0.556164
new_2_60.mat,0.135536
new_2_61.mat,0.492185
new_2_62.mat,0.340522
new_2_63.mat,0.737020
new_2_64.mat,0.590820
new_2_65.mat,0.449505
new_2_66.mat,0.615435
new_2_67.mat,0.336922
new_2_68.mat,0.823319
new_2_69.mat,0.267413
new_2_70.mat,0.463677
new_2_71.mat,0.277681
new_2_72.mat,0.014991
new_2_73.mat,0.634432
new_2_74.mat,0.374114
new_2_75.mat,0.791472
new_2_76.mat,0.602972
new_2_77.mat,0.838606
new_2_78.mat,0.919141
new_2_79.mat,0.197957
new_2_80.mat,0.255054
new_2_81.mat,0.000738
new_2_82.mat,0.183334
new_2_83.mat,0.400221
new_2_84.mat,0.303390
new_2_85.mat,0.140135
new_2_86.mat,0.588857
new_2_87.mat,0.665428
new_2_88.mat,0.952640
new_2_89.mat,0.870841
new_2_90.mat,0.731958
new_2_91.mat,0.536395
new_2_92.mat,0.712647
new_2_93.mat,0.490511
new_2_94.mat,0.502183
new_2_95.mat,0.003347
new_2_96.mat,0.878718
new_2_97.mat,0.631544
new_2_98.mat,0.335909
new_2_99.mat,0.734297
new_2_100.mat,0.564913
new_2_101.mat,0.367296
new_2_102.mat,0.592039
new_2_103.mat,0.673651
new_2_104.mat,0.549853
new_2_105.mat,0.573075
new_2_106.mat,0.005245
new_2_107.mat,0.353225
new_2_108.mat,0.615586
new_2_109.mat,0.367221
new_2_110.mat,0.401162
new_2_111.mat,0.950995
new_2_112.mat,0.552163
new_2_113.mat,0.578969
new_2_114.mat,0.661358
new_2_115.mat,0.953457
new_2_116.mat,0.161826
new_2_117.mat,0.362791
new_2_118.mat,0.693303
new_2_119.mat,0.076091
new_2_120.mat,0.609267
new_2_121.mat,0.161498
new_2_122.mat,0.125288
new_2_123.mat,0.238962
new_2_124.mat,0.254568
new_2_125.mat,0.266365
new_2_126.mat,0.520345
new_2_127.mat,0.209306
new_2_128.mat,0.759131
new_2_129.mat,0.381234
new_2_130.mat,0.266711
new_2_131.mat,0.320582
new_2_132.mat,0.050754
new_2_133.mat,0.661357
new_2_134.mat,0.002499
new_2_135.mat,0.588166
new_2_136.mat,0.593198
new_2_137.mat,0.499268
new_2_138.mat,0.438191
new_2_139.mat,0.421667
new_2_140.mat,0.502183
new_2_141.mat,0.030856
new_2_142.mat,0.502183
new_2_143.mat,0.913221
new_2_144.mat,0.104719
new_2_145.mat,0.901665
new_2_146.mat,0.550006
new_2_147.mat,0.031609
new_2_148.mat,0.502183
new_2_149.mat,0.611616
new_2_150.mat,0.557048
new_2_151.mat,0.662552
new_2_152.mat,0.339010
new_2_153.mat,0.482570
new_2_154.mat,0.759712
new_2_155.mat,0.356694
new_2_156.mat,0.702168
new_2_157.mat,0.982504
new_2_158.mat,0.996426
new_2_159.mat,0.778421
new_2_160.mat,0.519542
new_2_161.mat,0.979143
new_2_162.mat,0.759757
new_2_163.mat,0.237980
new_2_164.mat,0.791769
new_2_165.mat,0.456481
new_2_166.mat,0.421900
new_2_167.mat,0.973633
new_2_168.mat,0.511645
new_2_169.mat,0.218936
new_2_170.mat,0.993923
new_2_171.mat,0.889921
new_2_172.mat,0.573537
new_2_173.mat,0.365005
new_2_174.mat,0.318508
new_2_175.mat,0.834713
new_2_176.mat,0.502183
new_2_177.mat,0.881873
new_2_178.mat,0.015325
new_2_179.mat,0.584504
new_2_180.mat,0.634987
new_2_181.mat,0.321849
new_2_182.mat,0.392620
new_2_183.mat,0.573529
new_2_184.mat,0.119557
new_2_185.mat,0.955036
new_2_186.mat,0.046874
new_2_187.mat,0.778049
new_2_188.mat,0.054758
new_2_189.mat,0.624842
new_2_190.mat,0.312621
new_2_191.mat,0.620095
new_2_192.mat,0.002210
new_2_193.mat,0.545454
new_2_194.mat,0.600472
new_2_195.mat,0.000236
new_2_196.mat,0.796276
new_2_197.mat,0.093319
new_2_198.mat,0.381231
new_2_199.mat,0.952657
new_2_200.mat,0.581677
new_2_201.mat,0.798997
new_2_202.mat,0.227418
new_2_203.mat,0.729134
new_2_204.mat,0.216236
new_2_205.mat,0.976241
new_2_206.mat,0.200439
new_2_207.mat,0.936670
new_2_208.mat,0.878158
new_2_209.mat,0.781054
new_2_210.mat,0.961867
new_2_211.mat,0.381048
new_2_212.mat,0.989624
new_2_213.mat,0.687080
new_2_214.mat,0.561277
new_2_215.mat,0.712989
new_2_216.mat,0.463263
new_2_217.mat,0.303791
new_2_218.mat,0.444731
new_2_219.mat,0.820384
new_2_220.mat,0.709689
new_2_221.mat,0.172694
new_2_222.mat,0.870570
new_2_223.mat,0.460249
new_2_224.mat,0.696739
new_2_225.mat,0.991018
new_2_226.mat,0.006149
new_2_227.mat,0.502183
new_2_228.mat,0.549374
new_2_229.mat,0.341359
new_2_230.mat,0.886599
new_2_231.mat,0.406104
new_2_232.mat,0.305173
new_2_233.mat,0.718007
new_2_234.mat,0.428528
new_2_235.mat,0.666749
new_2_236.mat,0.125160
