File,Class
new_1_1.mat,0.979687
new_1_2.mat,0.117886
new_1_3.mat,0.358525
new_1_4.mat,0.003025
new_1_5.mat,0.441607
new_1_6.mat,0.998846
new_1_7.mat,0.441607
new_1_8.mat,0.005218
new_1_9.mat,0.843897
new_1_10.mat,0.441607
new_1_11.mat,0.025448
new_1_12.mat,0.441607
new_1_13.mat,0.441607
new_1_14.mat,0.389552
new_1_15.mat,0.519556
new_1_16.mat,0.572326
new_1_17.mat,0.441607
new_1_18.mat,0.441607
new_1_19.mat,0.632969
new_1_20.mat,0.441607
new_1_21.mat,0.441607
new_1_22.mat,0.441607
new_1_23.mat,0.441607
new_1_24.mat,0.646512
new_1_25.mat,0.343306
new_1_26.mat,0.992140
new_1_27.mat,0.633373
new_1_28.mat,0.065190
new_1_29.mat,0.918550
new_1_30.mat,0.931699
new_1_31.mat,0.020070
new_1_32.mat,0.179926
new_1_33.mat,0.023492
new_1_34.mat,0.441607
new_1_35.mat,0.952982
new_1_36.mat,0.929329
new_1_37.mat,0.591190
new_1_38.mat,0.108252
new_1_39.mat,0.441607
new_1_40.mat,0.009782
new_1_41.mat,0.215539
new_1_42.mat,0.441607
new_1_43.mat,0.049311
new_1_44.mat,0.998060
new_1_45.mat,0.441607
new_1_46.mat,0.758445
new_1_47.mat,0.514923
new_1_48.mat,0.158082
new_1_49.mat,0.441607
new_1_50.mat,0.997119
new_1_51.mat,0.029669
new_1_52.mat,0.849619
new_1_53.mat,0.028990
new_1_54.mat,0.154454
new_1_55.mat,0.987649
new_1_56.mat,0.166003
new_1_57.mat,0.441607
new_1_58.mat,0.024514
new_1_59.mat,0.028700
new_1_60.mat,0.447169
new_1_61.mat,0.009495
new_1_62.mat,0.265395
new_1_63.mat,0.195630
new_1_64.mat,0.912975
new_1_65.mat,0.000160
new_1_66.mat,0.827654
new_1_67.mat,0.175377
new_1_68.mat,0.000242
new_1_69.mat,0.221161
new_1_70.mat,0.565821
new_1_71.mat,0.207786
new_1_72.mat,0.441607
new_1_73.mat,0.541392
new_1_74.mat,0.341489
new_1_75.mat,0.003081
new_1_76.mat,0.897883
new_1_77.mat,0.031715
new_1_78.mat,0.441607
new_1_79.mat,0.782192
new_1_80.mat,0.998854
new_1_81.mat,0.100635
new_1_82.mat,0.015560
new_1_83.mat,0.923709
new_1_84.mat,0.441607
new_1_85.mat,0.441607
new_1_86.mat,0.816064
new_1_87.mat,0.441607
new_1_88.mat,0.373408
new_1_89.mat,0.017233
new_1_90.mat,0.000029
new_1_91.mat,0.001333
new_1_92.mat,0.759268
new_1_93.mat,0.416442
new_1_94.mat,0.441607
new_1_95.mat,0.670249
new_1_96.mat,0.198515
new_1_97.mat,0.001977
new_1_98.mat,0.441607
new_1_99.mat,0.347478
new_1_100.mat,0.999336
new_1_101.mat,0.897785
new_1_102.mat,0.037230
new_1_103.mat,0.090861
new_1_104.mat,0.994383
new_1_105.mat,0.859627
new_1_106.mat,0.128874
new_1_107.mat,0.089664
new_1_108.mat,0.441607
new_1_109.mat,0.796592
new_1_110.mat,0.001832
new_1_111.mat,0.850307
new_1_112.mat,0.165331
new_1_113.mat,0.973635
new_1_114.mat,0.101697
new_1_115.mat,0.167410
new_1_116.mat,0.031310
new_1_117.mat,0.998080
new_1_118.mat,0.441607
new_1_119.mat,0.441607
new_1_120.mat,0.903748
new_1_121.mat,0.303631
new_1_122.mat,0.998786
new_1_123.mat,0.000000
new_1_124.mat,0.131387
new_1_125.mat,0.541557
new_1_126.mat,0.744006
new_1_127.mat,0.818263
new_1_128.mat,0.856769
new_1_129.mat,0.534131
new_1_130.mat,0.010110
new_1_131.mat,0.441607
new_1_132.mat,0.615572
new_1_133.mat,0.973539
new_1_134.mat,0.729302
new_1_135.mat,0.099818
new_1_136.mat,0.662706
new_1_137.mat,0.189672
new_1_138.mat,0.668597
new_1_139.mat,0.836688
new_1_140.mat,0.004401
new_1_141.mat,0.129187
new_1_142.mat,0.737725
new_1_143.mat,0.017177
new_1_144.mat,0.990378
new_1_145.mat,0.863550
new_1_146.mat,0.926772
new_1_147.mat,0.441607
new_1_148.mat,0.095057
new_1_149.mat,0.569120
new_1_150.mat,0.012665
new_1_151.mat,0.729831
new_1_152.mat,0.225780
new_1_153.mat,0.441607
new_1_154.mat,0.115013
new_1_155.mat,0.008666
new_1_156.mat,0.042734
new_1_157.mat,0.327339
new_1_158.mat,0.020142
new_1_159.mat,0.731869
new_1_160.mat,0.007849
new_1_161.mat,0.098735
new_1_162.mat,0.103101
new_1_163.mat,0.855913
new_1_164.mat,0.019786
new_1_165.mat,0.441607
new_1_166.mat,0.697333
new_1_167.mat,0.441607
new_1_168.mat,0.757299
new_1_169.mat,0.684591
new_1_170.mat,0.125754
new_1_171.mat,0.000974
new_1_172.mat,0.009294
new_1_173.mat,0.620430
new_1_174.mat,0.823861
new_1_175.mat,0.124566
new_1_176.mat,0.441607
new_1_177.mat,0.441607
new_1_178.mat,0.793053
new_1_179.mat,0.546466
new_1_180.mat,0.079757
new_1_181.mat,0.910725
new_1_182.mat,0.942446
new_1_183.mat,0.441607
new_1_184.mat,0.441607
new_1_185.mat,0.831359
new_1_186.mat,0.999996
new_1_187.mat,0.399462
new_1_188.mat,0.102140
new_1_189.mat,0.470656
new_1_190.mat,0.441607
new_1_191.mat,0.212706
new_1_192.mat,0.824349
new_1_193.mat,0.792642
new_1_194.mat,0.620757
new_1_195.mat,0.000800
new_1_196.mat,0.856504
new_1_197.mat,0.441607
new_1_198.mat,0.012378
new_1_199.mat,0.875840
new_1_200.mat,0.425346
new_1_201.mat,0.806635
new_1_202.mat,0.441607
new_1_203.mat,0.197985
new_1_204.mat,0.916376
new_1_205.mat,0.441607
new_1_206.mat,0.056781
new_1_207.mat,0.397961
new_1_208.mat,0.797005
new_1_209.mat,0.441607
