File,Class
new_1_1.mat,0.997816
new_1_2.mat,0.602263
new_1_3.mat,0.986326
new_1_4.mat,0.999678
new_1_5.mat,0.796128
new_1_6.mat,0.991994
new_1_7.mat,0.796128
new_1_8.mat,0.976897
new_1_9.mat,0.956977
new_1_10.mat,0.796128
new_1_11.mat,0.999608
new_1_12.mat,0.796128
new_1_13.mat,0.796128
new_1_14.mat,0.701341
new_1_15.mat,0.617779
new_1_16.mat,0.945156
new_1_17.mat,0.796128
new_1_18.mat,0.796128
new_1_19.mat,0.855502
new_1_20.mat,0.796128
new_1_21.mat,0.796128
new_1_22.mat,0.796128
new_1_23.mat,0.796128
new_1_24.mat,0.961501
new_1_25.mat,0.863846
new_1_26.mat,0.604254
new_1_27.mat,0.982665
new_1_28.mat,0.999985
new_1_29.mat,0.832352
new_1_30.mat,0.982954
new_1_31.mat,0.537450
new_1_32.mat,0.717484
new_1_33.mat,0.990846
new_1_34.mat,0.796128
new_1_35.mat,0.727270
new_1_36.mat,0.941374
new_1_37.mat,0.996438
new_1_38.mat,0.997572
new_1_39.mat,0.796128
new_1_40.mat,0.008044
new_1_41.mat,0.884020
new_1_42.mat,0.796128
new_1_43.mat,0.040991
new_1_44.mat,0.997312
new_1_45.mat,0.796128
new_1_46.mat,0.305511
new_1_47.mat,0.824049
new_1_48.mat,0.914403
new_1_49.mat,0.796128
new_1_50.mat,0.975181
new_1_51.mat,0.162490
new_1_52.mat,0.992599
new_1_53.mat,0.006443
new_1_54.mat,0.389219
new_1_55.mat,0.991893
new_1_56.mat,0.862802
new_1_57.mat,0.796128
new_1_58.mat,0.057903
new_1_59.mat,0.934962
new_1_60.mat,0.571114
new_1_61.mat,0.444497
new_1_62.mat,0.179569
new_1_63.mat,0.998087
new_1_64.mat,0.836907
new_1_65.mat,0.968936
new_1_66.mat,0.968574
new_1_67.mat,0.881788
new_1_68.mat,0.903387
new_1_69.mat,0.739618
new_1_70.mat,0.941920
new_1_71.mat,0.999998
new_1_72.mat,0.796128
new_1_73.mat,0.996042
new_1_74.mat,0.786893
new_1_75.mat,0.999934
new_1_76.mat,0.997362
new_1_77.mat,0.296120
new_1_78.mat,0.796128
new_1_79.mat,0.442836
new_1_80.mat,0.690437
new_1_81.mat,0.996696
new_1_82.mat,0.982832
new_1_83.mat,0.916606
new_1_84.mat,0.796128
new_1_85.mat,0.796128
new_1_86.mat,0.999890
new_1_87.mat,0.796128
new_1_88.mat,0.962581
new_1_89.mat,0.999908
new_1_90.mat,0.001097
new_1_91.mat,0.645022
new_1_92.mat,0.567160
new_1_93.mat,0.972857
new_1_94.mat,0.796128
new_1_95.mat,0.683726
new_1_96.mat,0.993191
new_1_97.mat,0.073707
new_1_98.mat,0.796128
new_1_99.mat,0.280448
new_1_100.mat,0.992161
new_1_101.mat,0.864185
new_1_102.mat,0.995820
new_1_103.mat,0.970324
new_1_104.mat,0.995311
new_1_105.mat,0.762914
new_1_106.mat,0.873955
new_1_107.mat,0.999973
new_1_108.mat,0.796128
new_1_109.mat,0.456604
new_1_110.mat,0.999722
new_1_111.mat,0.849983
new_1_112.mat,0.818288
new_1_113.mat,0.952423
new_1_114.mat,0.803071
new_1_115.mat,0.942355
new_1_116.mat,0.987127
new_1_117.mat,0.763538
new_1_118.mat,0.796128
new_1_119.mat,0.796128
new_1_120.mat,0.635307
new_1_121.mat,0.996139
new_1_122.mat,0.815207
new_1_123.mat,0.904457
new_1_124.mat,0.999152
new_1_125.mat,0.882457
new_1_126.mat,0.336243
new_1_127.mat,0.710299
new_1_128.mat,0.750270
new_1_129.mat,0.860280
new_1_130.mat,0.833748
new_1_131.mat,0.796128
new_1_132.mat,0.992608
new_1_133.mat,0.985008
new_1_134.mat,0.947164
new_1_135.mat,0.999294
new_1_136.mat,0.731466
new_1_137.mat,0.980608
new_1_138.mat,0.847396
new_1_139.mat,0.816799
new_1_140.mat,0.388829
new_1_141.mat,0.946494
new_1_142.mat,0.925746
new_1_143.mat,0.515922
new_1_144.mat,0.954581
new_1_145.mat,0.907297
new_1_146.mat,0.840734
new_1_147.mat,0.796128
new_1_148.mat,0.908888
new_1_149.mat,0.652121
new_1_150.mat,0.496068
new_1_151.mat,0.181542
new_1_152.mat,0.389198
new_1_153.mat,0.796128
new_1_154.mat,0.999984
new_1_155.mat,0.999952
new_1_156.mat,1.000000
new_1_157.mat,0.556330
new_1_158.mat,0.999703
new_1_159.mat,0.991599
new_1_160.mat,0.999998
new_1_161.mat,0.824678
new_1_162.mat,0.999986
new_1_163.mat,0.981726
new_1_164.mat,0.995347
new_1_165.mat,0.796128
new_1_166.mat,0.880224
new_1_167.mat,0.796128
new_1_168.mat,0.379012
new_1_169.mat,0.669094
new_1_170.mat,0.916584
new_1_171.mat,0.268734
new_1_172.mat,0.060474
new_1_173.mat,0.797443
new_1_174.mat,0.685097
new_1_175.mat,0.820273
new_1_176.mat,0.796128
new_1_177.mat,0.796128
new_1_178.mat,0.940376
new_1_179.mat,0.439940
new_1_180.mat,0.953443
new_1_181.mat,0.991031
new_1_182.mat,0.992599
new_1_183.mat,0.796128
new_1_184.mat,0.796128
new_1_185.mat,0.999633
new_1_186.mat,0.862691
new_1_187.mat,0.991921
new_1_188.mat,0.905346
new_1_189.mat,0.999217
new_1_190.mat,0.796128
new_1_191.mat,0.915210
new_1_192.mat,0.588581
new_1_193.mat,0.730372
new_1_194.mat,0.875556
new_1_195.mat,0.992985
new_1_196.mat,0.802862
new_1_197.mat,0.796128
new_1_198.mat,0.679912
new_1_199.mat,0.418728
new_1_200.mat,0.999994
new_1_201.mat,0.979136
new_1_202.mat,0.796128
new_1_203.mat,0.999910
new_1_204.mat,0.999670
new_1_205.mat,0.796128
new_1_206.mat,0.993793
new_1_207.mat,0.666320
new_1_208.mat,0.648794
new_1_209.mat,0.796128
new_1_210.mat,0.999682
new_1_211.mat,0.999894
new_1_212.mat,0.999881
new_1_213.mat,0.994197
new_1_214.mat,0.577110
new_1_215.mat,0.985976
new_1_216.mat,0.577379
new_2_1.mat,0.656422
new_2_2.mat,0.850092
new_2_3.mat,0.084696
new_2_4.mat,0.606708
new_2_5.mat,0.130207
new_2_6.mat,0.556583
new_2_7.mat,0.323567
new_2_8.mat,0.781443
new_2_9.mat,0.624426
new_2_10.mat,0.152125
new_2_11.mat,0.872147
new_2_12.mat,0.558092
new_2_13.mat,0.432922
new_2_14.mat,0.052725
new_2_15.mat,0.424134
new_2_16.mat,0.513409
new_2_17.mat,0.308682
new_2_18.mat,0.636461
new_2_19.mat,0.778380
new_2_20.mat,0.265601
new_2_21.mat,0.043141
new_2_22.mat,0.072475
new_2_23.mat,0.777557
new_2_24.mat,0.253738
new_2_25.mat,0.268839
new_2_26.mat,0.439736
new_2_27.mat,0.213038
new_2_28.mat,0.349453
new_2_29.mat,0.034603
new_2_30.mat,0.509827
new_2_31.mat,0.995811
new_2_32.mat,0.893795
new_2_33.mat,0.237466
new_2_34.mat,0.388889
new_2_35.mat,0.488627
new_2_36.mat,0.554398
new_2_37.mat,0.453645
new_2_38.mat,0.150875
new_2_39.mat,0.628258
new_2_40.mat,0.189320
new_2_41.mat,0.985257
new_2_42.mat,0.473602
new_2_43.mat,0.547032
new_2_44.mat,0.506153
new_2_45.mat,0.223758
new_2_46.mat,0.798377
new_2_47.mat,0.029847
new_2_48.mat,0.003146
new_2_49.mat,0.123004
new_2_50.mat,0.122625
new_2_51.mat,0.756085
new_2_52.mat,0.468284
new_2_53.mat,0.093631
new_2_54.mat,0.554625
new_2_55.mat,0.009460
new_2_56.mat,0.765902
new_2_57.mat,0.423006
new_2_58.mat,0.285883
new_2_59.mat,0.513649
new_2_60.mat,0.423180
new_2_61.mat,0.319107
new_2_62.mat,0.928702
new_2_63.mat,0.206655
new_2_64.mat,0.377035
new_2_65.mat,0.813571
new_2_66.mat,0.954618
new_2_67.mat,0.154762
new_2_68.mat,0.536584
new_2_69.mat,0.348134
new_2_70.mat,0.086325
new_2_71.mat,0.047180
new_2_72.mat,0.491600
new_2_73.mat,0.752653
new_2_74.mat,0.559031
new_2_75.mat,0.010140
new_2_76.mat,0.413732
new_2_77.mat,0.443859
new_2_78.mat,0.460928
new_2_79.mat,0.431344
new_2_80.mat,0.410924
new_2_81.mat,0.397189
new_2_82.mat,0.048090
new_2_83.mat,0.914935
new_2_84.mat,0.472578
new_2_85.mat,0.313352
new_2_86.mat,0.624648
new_2_87.mat,0.293160
new_2_88.mat,0.396471
new_2_89.mat,0.876396
new_2_90.mat,0.436352
new_2_91.mat,0.686608
new_2_92.mat,0.781191
new_2_93.mat,0.169412
new_2_94.mat,0.757683
new_2_95.mat,0.004352
new_2_96.mat,0.690616
new_2_97.mat,0.453566
new_2_98.mat,0.317301
new_2_99.mat,0.431344
new_2_100.mat,0.083167
new_2_101.mat,0.826558
new_2_102.mat,0.965999
new_2_103.mat,0.734751
new_2_104.mat,0.114402
new_2_105.mat,0.121138
new_2_106.mat,0.312138
new_2_107.mat,0.828830
new_2_108.mat,0.267422
new_2_109.mat,0.680077
new_2_110.mat,0.596654
new_2_111.mat,0.518092
new_2_112.mat,0.185598
new_2_113.mat,0.566420
new_2_114.mat,0.945942
new_2_115.mat,0.107459
new_2_116.mat,0.931054
new_2_117.mat,0.391071
new_2_118.mat,0.484360
new_2_119.mat,0.433043
new_2_120.mat,0.431344
new_2_121.mat,0.431344
new_2_122.mat,0.409795
new_2_123.mat,0.895817
new_2_124.mat,0.177413
new_2_125.mat,0.090218
new_2_126.mat,0.489407
new_2_127.mat,0.711637
new_2_128.mat,0.697075
new_2_129.mat,0.124107
new_2_130.mat,0.655243
new_2_131.mat,0.258811
new_2_132.mat,0.112401
new_2_133.mat,0.114252
new_2_134.mat,0.353407
new_2_135.mat,0.343318
new_2_136.mat,0.724311
new_2_137.mat,0.452015
new_2_138.mat,0.982433
new_2_139.mat,0.107694
new_2_140.mat,0.734748
new_2_141.mat,0.217323
new_2_142.mat,0.449297
new_2_143.mat,0.477903
new_2_144.mat,0.813287
new_2_145.mat,0.771071
new_2_146.mat,0.340159
new_2_147.mat,0.488933
new_2_148.mat,0.309355
new_2_149.mat,0.035496
new_2_150.mat,0.565553
new_2_151.mat,0.847226
new_2_152.mat,0.680131
new_2_153.mat,0.242845
new_2_154.mat,0.019283
new_2_155.mat,0.687007
new_2_156.mat,0.562667
new_2_157.mat,0.255992
new_2_158.mat,0.112993
new_2_159.mat,0.159144
new_2_160.mat,0.019984
new_2_161.mat,0.269621
new_2_162.mat,0.827848
new_2_163.mat,0.306244
new_2_164.mat,0.110020
new_2_165.mat,0.412528
new_2_166.mat,0.511739
new_2_167.mat,0.818943
new_2_168.mat,0.013379
new_2_169.mat,0.911549
new_2_170.mat,0.519581
new_2_171.mat,0.362155
new_2_172.mat,0.801814
new_2_173.mat,0.651863
new_2_174.mat,0.237977
new_2_175.mat,0.511473
new_2_176.mat,0.412246
new_2_177.mat,0.465777
new_2_178.mat,0.826710
new_2_179.mat,0.672187
new_2_180.mat,0.400451
new_2_181.mat,0.087506
new_2_182.mat,0.229425
new_2_183.mat,0.478076
new_2_184.mat,0.273842
new_2_185.mat,0.754316
new_2_186.mat,0.269994
new_2_187.mat,0.821684
new_2_188.mat,0.626316
new_2_189.mat,0.798939
new_2_190.mat,0.420430
new_2_191.mat,0.388849
new_2_192.mat,0.587495
new_2_193.mat,0.831568
new_2_194.mat,0.742538
new_2_195.mat,0.850004
new_2_196.mat,0.222062
new_2_197.mat,0.528074
new_2_198.mat,0.216986
new_2_199.mat,0.201944
new_2_200.mat,0.757443
new_2_201.mat,0.563634
new_2_202.mat,0.157056
new_2_203.mat,0.190868
new_2_204.mat,0.445621
new_2_205.mat,0.377469
new_2_206.mat,0.621302
new_2_207.mat,0.587976
new_2_208.mat,0.783674
new_2_209.mat,0.490055
new_2_210.mat,0.227238
new_2_211.mat,0.521521
