File,Class
new_1_1.mat,3100.000000
new_1_2.mat,2925.000000
new_1_3.mat,3067.000000
new_1_4.mat,3074.000000
new_1_5.mat,2999.000000
new_1_6.mat,3093.000000
new_1_7.mat,2998.000000
new_1_8.mat,3046.000000
new_1_9.mat,3052.000000
new_1_10.mat,2997.000000
new_1_11.mat,3092.000000
new_1_12.mat,2996.000000
new_1_13.mat,2995.000000
new_1_14.mat,2950.000000
new_1_15.mat,2924.000000
new_1_16.mat,3030.000000
new_1_17.mat,2994.000000
new_1_18.mat,2993.000000
new_1_19.mat,3010.000000
new_1_20.mat,2992.000000
new_1_21.mat,2991.000000
new_1_22.mat,2990.000000
new_1_23.mat,2989.000000
new_1_24.mat,3062.000000
new_1_25.mat,3028.000000
new_1_26.mat,2941.000000
new_1_27.mat,3057.000000
new_1_28.mat,3106.000000
new_1_29.mat,3048.000000
new_1_30.mat,3094.000000
new_1_31.mat,2935.000000
new_1_32.mat,2930.000000
new_1_33.mat,3084.000000
new_1_34.mat,2988.000000
new_1_35.mat,2954.000000
new_1_36.mat,3051.000000
new_1_37.mat,3083.000000
new_1_38.mat,3090.000000
new_1_39.mat,3002.000000
new_1_40.mat,2899.000000
new_1_41.mat,3035.000000
new_1_42.mat,2987.000000
new_1_43.mat,2900.000000
new_1_44.mat,3026.000000
new_1_45.mat,2986.000000
new_1_46.mat,2908.000000
new_1_47.mat,3012.000000
new_1_48.mat,2960.000000
new_1_49.mat,2985.000000
new_1_50.mat,3064.000000
new_1_51.mat,2909.000000
new_1_52.mat,3072.000000
new_1_53.mat,2901.000000
new_1_54.mat,2918.000000
new_1_55.mat,3078.000000
new_1_56.mat,3008.000000
new_1_57.mat,3000.000000
new_1_58.mat,2903.000000
new_1_59.mat,3031.000000
new_1_60.mat,2932.000000
new_1_61.mat,2920.000000
new_1_62.mat,2906.000000
new_1_63.mat,3081.000000
new_1_64.mat,3015.000000
new_1_65.mat,3013.000000
new_1_66.mat,3068.000000
new_1_67.mat,2957.000000
new_1_68.mat,2958.000000
new_1_69.mat,2948.000000
new_1_70.mat,3039.000000
new_1_71.mat,3113.000000
new_1_72.mat,3001.000000
new_1_73.mat,3063.000000
new_1_74.mat,3016.000000
new_1_75.mat,3105.000000
new_1_76.mat,3044.000000
new_1_77.mat,2917.000000
new_1_78.mat,3004.000000
new_1_79.mat,2916.000000
new_1_80.mat,2947.000000
new_1_81.mat,3089.000000
new_1_82.mat,3060.000000
new_1_83.mat,3041.000000
new_1_84.mat,3003.000000
new_1_85.mat,2984.000000
new_1_86.mat,3107.000000
new_1_87.mat,2982.000000
new_1_88.mat,3076.000000
new_1_89.mat,3080.000000
new_1_90.mat,2898.000000
new_1_91.mat,2913.000000
new_1_92.mat,2931.000000
new_1_93.mat,3059.000000
new_1_94.mat,2970.000000
new_1_95.mat,2937.000000
new_1_96.mat,3073.000000
new_1_97.mat,2904.000000
new_1_98.mat,2971.000000
new_1_99.mat,2910.000000
new_1_100.mat,3036.000000
new_1_101.mat,3021.000000
new_1_102.mat,3055.000000
new_1_103.mat,3014.000000
new_1_104.mat,3088.000000
new_1_105.mat,2953.000000
new_1_106.mat,3005.000000
new_1_107.mat,3097.000000
new_1_108.mat,2983.000000
new_1_109.mat,2923.000000
new_1_110.mat,3103.000000
new_1_111.mat,3017.000000
new_1_112.mat,3019.000000
new_1_113.mat,3047.000000
new_1_114.mat,3025.000000
new_1_115.mat,3020.000000
new_1_116.mat,3082.000000
new_1_117.mat,2959.000000
new_1_118.mat,2974.000000
new_1_119.mat,2976.000000
new_1_120.mat,2943.000000
new_1_121.mat,3056.000000
new_1_122.mat,3011.000000
new_1_123.mat,2951.000000
new_1_124.mat,3043.000000
new_1_125.mat,3024.000000
new_1_126.mat,2912.000000
new_1_127.mat,2952.000000
new_1_128.mat,2961.000000
new_1_129.mat,3018.000000
new_1_130.mat,2955.000000
new_1_131.mat,2980.000000
new_1_132.mat,3070.000000
new_1_133.mat,3086.000000
new_1_134.mat,3042.000000
new_1_135.mat,3085.000000
new_1_136.mat,2939.000000
new_1_137.mat,3065.000000
new_1_138.mat,3022.000000
new_1_139.mat,2963.000000
new_1_140.mat,2914.000000
new_1_141.mat,3045.000000
new_1_142.mat,3071.000000
new_1_143.mat,2933.000000
new_1_144.mat,3054.000000
new_1_145.mat,3032.000000
new_1_146.mat,2938.000000
new_1_147.mat,2967.000000
new_1_148.mat,3007.000000
new_1_149.mat,2946.000000
new_1_150.mat,2929.000000
new_1_151.mat,2902.000000
new_1_152.mat,2911.000000
new_1_153.mat,2966.000000
new_1_154.mat,3099.000000
new_1_155.mat,3108.000000
new_1_156.mat,3111.000000
new_1_157.mat,2919.000000
new_1_158.mat,3095.000000
new_1_159.mat,3058.000000
new_1_160.mat,3112.000000
new_1_161.mat,2944.000000
new_1_162.mat,3109.000000
new_1_163.mat,3037.000000
new_1_164.mat,3079.000000
new_1_165.mat,2965.000000
new_1_166.mat,3027.000000
new_1_167.mat,2964.000000
new_1_168.mat,2915.000000
new_1_169.mat,2942.000000
new_1_170.mat,3040.000000
new_1_171.mat,2907.000000
new_1_172.mat,2905.000000
new_1_173.mat,3006.000000
new_1_174.mat,2949.000000
new_1_175.mat,2934.000000
new_1_176.mat,2973.000000
new_1_177.mat,2977.000000
new_1_178.mat,3053.000000
new_1_179.mat,2922.000000
new_1_180.mat,3034.000000
new_1_181.mat,3066.000000
new_1_182.mat,3087.000000
new_1_183.mat,2979.000000
new_1_184.mat,2975.000000
new_1_185.mat,3101.000000
new_1_186.mat,3009.000000
new_1_187.mat,3049.000000
new_1_188.mat,3033.000000
new_1_189.mat,3091.000000
new_1_190.mat,2972.000000
new_1_191.mat,3038.000000
new_1_192.mat,2927.000000
new_1_193.mat,2956.000000
new_1_194.mat,3023.000000
new_1_195.mat,3029.000000
new_1_196.mat,2962.000000
new_1_197.mat,2978.000000
new_1_198.mat,2936.000000
new_1_199.mat,2921.000000
