File,Class
new_1_1.mat,0.999904
new_1_2.mat,0.999996
new_1_3.mat,0.999909
new_1_4.mat,1.000000
new_1_5.mat,0.926757
new_1_6.mat,0.999987
new_1_7.mat,0.926757
new_1_8.mat,1.000000
new_1_9.mat,0.999999
new_1_10.mat,0.926757
new_1_11.mat,1.000000
new_1_12.mat,0.926757
new_1_13.mat,0.926757
new_1_14.mat,0.997557
new_1_15.mat,0.839866
new_1_16.mat,0.999969
new_1_17.mat,0.926757
new_1_18.mat,0.926757
new_1_19.mat,1.000000
new_1_20.mat,0.926757
new_1_21.mat,0.926757
new_1_22.mat,0.926757
new_1_23.mat,0.926757
new_1_24.mat,0.999965
new_1_25.mat,0.987524
new_1_26.mat,0.942458
new_1_27.mat,0.999999
new_1_28.mat,1.000000
new_1_29.mat,0.999870
new_1_30.mat,1.000000
new_1_31.mat,0.999907
new_1_32.mat,0.802850
new_1_33.mat,0.999903
new_1_34.mat,0.926757
new_1_35.mat,0.999985
new_1_36.mat,0.962094
new_1_37.mat,0.999966
new_1_38.mat,1.000000
new_1_39.mat,0.926757
new_1_40.mat,0.752049
new_1_41.mat,0.999995
new_1_42.mat,0.926757
new_1_43.mat,0.883567
new_1_44.mat,0.999997
new_1_45.mat,0.926757
new_1_46.mat,0.735677
new_1_47.mat,0.999290
new_1_48.mat,0.999193
new_1_49.mat,0.926757
new_1_50.mat,0.999999
new_1_51.mat,0.395761
new_1_52.mat,1.000000
new_1_53.mat,0.952386
new_1_54.mat,0.820433
new_1_55.mat,0.999974
new_1_56.mat,0.999853
new_1_57.mat,0.926757
new_1_58.mat,0.457431
new_1_59.mat,0.999988
new_1_60.mat,0.990669
new_1_61.mat,0.999945
new_1_62.mat,0.679170
new_1_63.mat,0.947689
new_1_64.mat,0.999746
new_1_65.mat,0.999978
new_1_66.mat,0.999985
new_1_67.mat,0.999859
new_1_68.mat,0.999997
new_1_69.mat,0.999941
new_1_70.mat,0.991573
new_1_71.mat,1.000000
new_1_72.mat,0.926757
new_1_73.mat,0.999987
new_1_74.mat,0.999917
new_1_75.mat,1.000000
new_1_76.mat,0.999997
new_1_77.mat,0.435690
new_1_78.mat,0.926757
new_1_79.mat,0.690111
new_1_80.mat,0.999633
new_1_81.mat,0.999911
new_1_82.mat,0.999954
new_1_83.mat,0.957263
new_1_84.mat,0.926757
new_1_85.mat,0.926757
new_1_86.mat,0.979021
new_1_87.mat,0.926757
new_1_88.mat,0.995529
new_1_89.mat,0.999999
new_1_90.mat,0.298097
new_1_91.mat,0.999954
new_1_92.mat,0.649286
new_1_93.mat,0.999997
new_1_94.mat,0.926757
new_1_95.mat,0.774367
new_1_96.mat,0.999999
new_1_97.mat,0.998259
new_1_98.mat,0.926757
new_1_99.mat,0.591867
new_1_100.mat,0.999352
new_1_101.mat,0.815710
new_1_102.mat,0.999838
new_1_103.mat,0.999626
new_1_104.mat,0.998004
new_1_105.mat,0.877906
new_1_106.mat,0.966513
new_1_107.mat,0.999995
new_1_108.mat,0.926757
new_1_109.mat,0.999560
new_1_110.mat,1.000000
new_1_111.mat,0.879675
new_1_112.mat,0.943994
new_1_113.mat,0.999942
new_1_114.mat,0.895618
new_1_115.mat,0.999998
new_1_116.mat,0.995099
new_1_117.mat,0.999908
new_1_118.mat,0.926757
new_1_119.mat,0.926757
new_1_120.mat,0.989567
new_1_121.mat,0.999965
new_1_122.mat,0.999614
new_1_123.mat,1.000000
new_1_124.mat,0.999999
new_1_125.mat,0.999914
new_1_126.mat,0.508655
new_1_127.mat,0.691424
new_1_128.mat,0.689927
new_1_129.mat,0.999998
new_1_130.mat,0.957373
new_1_131.mat,0.926757
new_1_132.mat,0.999989
new_1_133.mat,0.999985
new_1_134.mat,0.999973
new_1_135.mat,0.999976
new_1_136.mat,0.821028
new_1_137.mat,0.999984
new_1_138.mat,0.892546
new_1_139.mat,0.810859
new_1_140.mat,0.999885
new_1_141.mat,0.996948
new_1_142.mat,0.999999
new_1_143.mat,0.999049
new_1_144.mat,0.999424
new_1_145.mat,0.999824
new_1_146.mat,0.999901
new_1_147.mat,0.926757
new_1_148.mat,0.999720
new_1_149.mat,0.972077
new_1_150.mat,0.902695
new_1_151.mat,0.999336
new_1_152.mat,0.680248
new_1_153.mat,0.926757
new_1_154.mat,0.999991
new_1_155.mat,1.000000
new_1_156.mat,1.000000
new_1_157.mat,0.761288
new_1_158.mat,1.000000
new_1_159.mat,0.999999
new_1_160.mat,1.000000
new_1_161.mat,0.999995
new_1_162.mat,1.000000
new_1_163.mat,0.999948
new_1_164.mat,0.999999
new_1_165.mat,0.926757
new_1_166.mat,0.999997
new_1_167.mat,0.926757
new_1_168.mat,0.483546
new_1_169.mat,0.996266
new_1_170.mat,0.899014
new_1_171.mat,0.211561
new_1_172.mat,0.561167
new_1_173.mat,0.999765
new_1_174.mat,0.616788
new_1_175.mat,0.999998
new_1_176.mat,0.926757
new_1_177.mat,0.926757
new_1_178.mat,0.999557
new_1_179.mat,0.486745
new_1_180.mat,0.999920
new_1_181.mat,0.999953
new_1_182.mat,0.999636
new_1_183.mat,0.926757
new_1_184.mat,0.926757
new_1_185.mat,1.000000
new_1_186.mat,0.999993
new_1_187.mat,1.000000
new_1_188.mat,0.893037
new_1_189.mat,1.000000
new_1_190.mat,0.926757
new_1_191.mat,0.897261
new_1_192.mat,0.471622
new_1_193.mat,0.725457
new_1_194.mat,0.999646
new_1_195.mat,1.000000
new_1_196.mat,0.999957
new_1_197.mat,0.926757
new_1_198.mat,0.871483
new_1_199.mat,0.993953
new_1_200.mat,1.000000
new_1_201.mat,0.999923
new_1_202.mat,0.926757
new_1_203.mat,0.997643
new_1_204.mat,0.999982
new_1_205.mat,0.926757
new_1_206.mat,0.999817
new_1_207.mat,0.631128
new_1_208.mat,0.999780
new_1_209.mat,0.926757
new_1_210.mat,1.000000
new_1_211.mat,1.000000
new_1_212.mat,1.000000
new_1_213.mat,0.999915
new_1_214.mat,0.901661
new_1_215.mat,0.999803
new_1_216.mat,0.999904
new_2_1.mat,0.999907
new_2_2.mat,0.981271
new_2_3.mat,0.999874
new_2_4.mat,1.000000
new_2_5.mat,0.999839
new_2_6.mat,1.000000
new_2_7.mat,0.999999
new_2_8.mat,0.999923
new_2_9.mat,0.994989
new_2_10.mat,1.000000
new_2_11.mat,0.883395
new_2_12.mat,0.999999
new_2_13.mat,0.999995
new_2_14.mat,1.000000
new_2_15.mat,1.000000
new_2_16.mat,0.983147
new_2_17.mat,0.999898
new_2_18.mat,0.999999
new_2_19.mat,0.999992
new_2_20.mat,0.953051
new_2_21.mat,0.999995
new_2_22.mat,0.999976
new_2_23.mat,0.999994
new_2_24.mat,0.999954
new_2_25.mat,0.996562
new_2_26.mat,0.979610
new_2_27.mat,1.000000
new_2_28.mat,1.000000
new_2_29.mat,1.000000
new_2_30.mat,1.000000
new_2_31.mat,1.000000
new_2_32.mat,0.999930
new_2_33.mat,0.999999
new_2_34.mat,0.999982
new_2_35.mat,1.000000
new_2_36.mat,1.000000
new_2_37.mat,0.999980
new_2_38.mat,1.000000
new_2_39.mat,0.998246
new_2_40.mat,0.975943
new_2_41.mat,0.999954
new_2_42.mat,0.979610
new_2_43.mat,1.000000
new_2_44.mat,1.000000
new_2_45.mat,0.905182
new_2_46.mat,0.999956
new_2_47.mat,1.000000
new_2_48.mat,0.999987
new_2_49.mat,0.929024
new_2_50.mat,0.999997
new_2_51.mat,0.999960
new_2_52.mat,0.999999
new_2_53.mat,1.000000
new_2_54.mat,0.999989
new_2_55.mat,1.000000
new_2_56.mat,0.994430
new_2_57.mat,0.979610
