File,Class
new_1_1.mat,2202.000000
new_1_2.mat,2243.000000
new_1_3.mat,2206.000000
new_1_4.mat,2261.000000
new_1_5.mat,2134.000000
new_1_6.mat,2235.000000
new_1_7.mat,2146.000000
new_1_8.mat,2264.000000
new_1_9.mat,2257.000000
new_1_10.mat,2147.000000
new_1_11.mat,2262.000000
new_1_12.mat,2151.000000
new_1_13.mat,2149.000000
new_1_14.mat,2171.000000
new_1_15.mat,2099.000000
new_1_16.mat,2224.000000
new_1_17.mat,2150.000000
new_1_18.mat,2136.000000
new_1_19.mat,2271.000000
new_1_20.mat,2129.000000
new_1_21.mat,2142.000000
new_1_22.mat,2139.000000
new_1_23.mat,2130.000000
new_1_24.mat,2222.000000
new_1_25.mat,2162.000000
new_1_26.mat,2152.000000
new_1_27.mat,2255.000000
new_1_28.mat,2275.000000
new_1_29.mat,2198.000000
new_1_30.mat,2276.000000
new_1_31.mat,2204.000000
new_1_32.mat,2094.000000
new_1_33.mat,2201.000000
new_1_34.mat,2137.000000
new_1_35.mat,2233.000000
new_1_36.mat,2158.000000
new_1_37.mat,2223.000000
new_1_38.mat,2279.000000
new_1_39.mat,2128.000000
new_1_40.mat,2091.000000
new_1_41.mat,2241.000000
new_1_42.mat,2141.000000
new_1_43.mat,2103.000000
new_1_44.mat,2248.000000
new_1_45.mat,2144.000000
new_1_46.mat,2090.000000
new_1_47.mat,2177.000000
new_1_48.mat,2176.000000
new_1_49.mat,2148.000000
new_1_50.mat,2253.000000
new_1_51.mat,2072.000000
new_1_52.mat,2283.000000
new_1_53.mat,2155.000000
new_1_54.mat,2097.000000
new_1_55.mat,2226.000000
new_1_56.mat,2196.000000
new_1_57.mat,2132.000000
new_1_58.mat,2074.000000
new_1_59.mat,2236.000000
new_1_60.mat,2164.000000
new_1_61.mat,2215.000000
new_1_62.mat,2084.000000
new_1_63.mat,2154.000000
new_1_64.mat,2189.000000
new_1_65.mat,2228.000000
new_1_66.mat,2232.000000
new_1_67.mat,2197.000000
new_1_68.mat,2245.000000
new_1_69.mat,2213.000000
new_1_70.mat,2165.000000
new_1_71.mat,2277.000000
new_1_72.mat,2125.000000
new_1_73.mat,2234.000000
new_1_74.mat,2210.000000
new_1_75.mat,2284.000000
new_1_76.mat,2247.000000
new_1_77.mat,2073.000000
new_1_78.mat,2122.000000
new_1_79.mat,2087.000000
new_1_80.mat,2185.000000
new_1_81.mat,2207.000000
new_1_82.mat,2219.000000
new_1_83.mat,2156.000000
new_1_84.mat,2116.000000
new_1_85.mat,2124.000000
new_1_86.mat,2161.000000
new_1_87.mat,2123.000000
new_1_88.mat,2168.000000
new_1_89.mat,2259.000000
