File,Class
new_1_1.mat,4272.000000
new_1_2.mat,4253.000000
new_1_3.mat,4111.000000
new_1_4.mat,4188.000000
new_1_5.mat,4164.000000
new_1_6.mat,4249.000000
new_1_7.mat,4166.000000
new_1_8.mat,4186.000000
new_1_9.mat,4203.000000
new_1_10.mat,4157.000000
new_1_11.mat,4212.000000
new_1_12.mat,4176.000000
new_1_13.mat,4175.000000
new_1_14.mat,4083.000000
new_1_15.mat,4210.000000
new_1_16.mat,4122.000000
new_1_17.mat,4174.000000
new_1_18.mat,4173.000000
new_1_19.mat,4241.000000
new_1_20.mat,4170.000000
new_1_21.mat,4179.000000
new_1_22.mat,4168.000000
new_1_23.mat,4167.000000
new_1_24.mat,4226.000000
new_1_25.mat,4096.000000
new_1_26.mat,4247.000000
new_1_27.mat,4207.000000
new_1_28.mat,4214.000000
new_1_29.mat,4256.000000
new_1_30.mat,4219.000000
new_1_31.mat,4216.000000
new_1_32.mat,4094.000000
new_1_33.mat,4191.000000
new_1_34.mat,4163.000000
new_1_35.mat,4133.000000
new_1_36.mat,4282.000000
new_1_37.mat,4136.000000
new_1_38.mat,4217.000000
new_1_39.mat,4161.000000
new_1_40.mat,4105.000000
new_1_41.mat,4070.000000
new_1_42.mat,4160.000000
new_1_43.mat,4123.000000
new_1_44.mat,4265.000000
new_1_45.mat,4159.000000
new_1_46.mat,4185.000000
new_1_47.mat,4246.000000
new_1_48.mat,4215.000000
new_1_49.mat,4158.000000
new_1_50.mat,4251.000000
new_1_51.mat,4080.000000
new_1_52.mat,4243.000000
new_1_53.mat,4104.000000
new_1_54.mat,4090.000000
new_1_55.mat,4270.000000
new_1_56.mat,4195.000000
new_1_57.mat,4169.000000
new_1_58.mat,4077.000000
new_1_59.mat,4093.000000
new_1_60.mat,4103.000000
new_1_61.mat,4078.000000
new_1_62.mat,4126.000000
new_1_63.mat,4135.000000
new_1_64.mat,4242.000000
new_1_65.mat,4245.000000
new_1_66.mat,4279.000000
new_1_67.mat,4119.000000
new_1_68.mat,4208.000000
new_1_69.mat,4102.000000
new_1_70.mat,4087.000000
new_1_71.mat,4204.000000
new_1_72.mat,4165.000000
new_1_73.mat,4200.000000
new_1_74.mat,4198.000000
new_1_75.mat,4109.000000
new_1_76.mat,4273.000000
new_1_77.mat,4086.000000
new_1_78.mat,4171.000000
new_1_79.mat,4172.000000
new_1_80.mat,4181.000000
new_1_81.mat,4114.000000
new_1_82.mat,4091.000000
new_1_83.mat,4257.000000
new_1_84.mat,4177.000000
new_1_85.mat,4178.000000
new_1_86.mat,4274.000000
new_1_87.mat,4162.000000
new_1_88.mat,4107.000000
new_1_89.mat,4132.000000
new_1_90.mat,4081.000000
new_1_91.mat,4236.000000
new_1_92.mat,4137.000000
new_1_93.mat,4211.000000
new_1_94.mat,4140.000000
new_1_95.mat,4201.000000
new_1_96.mat,4082.000000
new_1_97.mat,4073.000000
