File,Class
new_1_1.mat,0.796987
new_1_2.mat,0.547216
new_1_3.mat,0.203595
new_1_4.mat,0.000100
new_1_5.mat,0.941514
new_1_6.mat,0.917240
new_1_7.mat,0.344344
new_1_8.mat,0.000427
new_1_9.mat,0.553403
new_1_10.mat,0.678659
new_1_11.mat,0.001561
new_1_12.mat,0.156658
new_1_13.mat,0.344344
new_1_14.mat,0.682903
new_1_15.mat,0.289648
new_1_16.mat,0.542139
new_1_17.mat,0.469543
new_1_18.mat,0.344344
new_1_19.mat,0.159194
new_1_20.mat,0.344344
new_1_21.mat,0.344344
new_1_22.mat,0.683649
new_1_23.mat,0.858170
new_1_24.mat,0.651958
new_1_25.mat,0.004915
new_1_26.mat,0.561072
new_1_27.mat,0.507934
new_1_28.mat,0.003390
new_1_29.mat,0.718724
new_1_30.mat,0.499405
new_1_31.mat,0.049225
new_1_32.mat,0.210248
new_1_33.mat,0.005753
new_1_34.mat,0.344344
new_1_35.mat,0.467071
new_1_36.mat,0.601467
new_1_37.mat,0.375918
new_1_38.mat,0.028931
new_1_39.mat,0.413783
new_1_40.mat,0.006422
new_1_41.mat,0.152575
new_1_42.mat,0.685163
new_1_43.mat,0.320660
new_1_44.mat,0.751213
new_1_45.mat,0.344344
new_1_46.mat,0.678194
new_1_47.mat,0.492463
new_1_48.mat,0.303583
new_1_49.mat,0.080642
new_1_50.mat,0.691278
new_1_51.mat,0.022725
new_1_52.mat,0.560734
new_1_53.mat,0.073580
new_1_54.mat,0.006914
new_1_55.mat,0.768584
new_1_56.mat,0.329277
new_1_57.mat,0.002506
new_1_58.mat,0.001078
new_1_59.mat,0.000100
new_1_60.mat,0.045436
new_1_61.mat,0.006091
new_1_62.mat,0.675850
new_1_63.mat,0.000558
new_1_64.mat,0.595832
new_1_65.mat,0.157645
new_1_66.mat,0.829297
new_1_67.mat,0.002599
new_1_68.mat,0.050417
new_1_69.mat,0.049226
new_1_70.mat,0.003293
new_1_71.mat,0.001269
new_1_72.mat,0.344344
new_1_73.mat,0.492245
new_1_74.mat,0.172263
new_1_75.mat,0.000103
new_1_76.mat,0.830875
new_1_77.mat,0.001279
new_1_78.mat,0.655811
new_1_79.mat,0.821861
new_1_80.mat,0.324590
new_1_81.mat,0.000100
new_1_82.mat,0.013957
new_1_83.mat,0.772886
new_1_84.mat,0.344344
new_1_85.mat,0.059429
new_1_86.mat,0.743931
new_1_87.mat,0.392496
new_1_88.mat,0.572987
new_1_89.mat,0.001942
new_1_90.mat,0.024035
new_1_91.mat,0.014988
new_1_92.mat,0.655869
new_1_93.mat,0.351060
new_1_94.mat,0.861446
new_1_95.mat,0.448749
new_1_96.mat,0.056704
new_1_97.mat,0.141247
new_1_98.mat,0.344344
new_1_99.mat,0.009959
new_1_100.mat,0.977483
new_1_101.mat,0.487940
new_1_102.mat,0.018375
new_1_103.mat,0.000158
new_1_104.mat,0.878376
new_1_105.mat,0.588384
new_1_106.mat,0.000785
new_1_107.mat,0.036885
new_1_108.mat,0.569527
new_1_109.mat,0.655137
new_1_110.mat,0.005275
new_1_111.mat,0.251231
new_1_112.mat,0.023294
new_1_113.mat,0.807055
new_1_114.mat,0.000205
new_1_115.mat,0.334720
new_1_116.mat,0.002076
new_1_117.mat,0.638712
new_1_118.mat,0.167299
new_1_119.mat,0.918883
new_1_120.mat,0.427290
new_1_121.mat,0.846850
new_1_122.mat,0.319483
new_1_123.mat,0.022181
new_1_124.mat,0.000442
new_1_125.mat,0.788627
new_1_126.mat,0.417703
new_1_127.mat,0.759249
new_1_128.mat,0.954986
new_1_129.mat,0.254625
new_1_130.mat,0.001527
new_1_131.mat,0.562593
new_1_132.mat,0.586936
new_1_133.mat,0.816841
new_1_134.mat,0.615179
new_1_135.mat,0.004874
new_1_136.mat,0.444521
new_1_137.mat,0.010048
new_1_138.mat,0.772359
new_1_139.mat,0.538073
new_1_140.mat,0.031681
new_1_141.mat,0.037613
new_1_142.mat,0.550445
new_1_143.mat,0.019669
new_1_144.mat,0.741176
new_1_145.mat,0.312619
new_1_146.mat,0.640212
new_1_147.mat,0.344344
new_1_148.mat,0.304571
new_1_149.mat,0.108116
new_1_150.mat,0.002451
new_1_151.mat,0.902770
new_1_152.mat,0.030276
new_1_153.mat,0.021690
new_1_154.mat,0.030919
new_1_155.mat,0.000396
new_1_156.mat,0.000683
new_1_157.mat,0.275797
new_1_158.mat,0.050990
new_1_159.mat,0.450173
new_1_160.mat,0.000552
new_1_161.mat,0.196993
new_1_162.mat,0.049379
new_1_163.mat,0.555188
new_1_164.mat,0.001474
new_1_165.mat,0.724565
new_1_166.mat,0.715639
new_1_167.mat,0.344344
new_1_168.mat,0.594657
new_1_169.mat,0.747012
new_1_170.mat,0.002054
new_1_171.mat,0.002073
new_1_172.mat,0.003855
new_1_173.mat,0.371053
new_1_174.mat,0.733521
new_1_175.mat,0.212968
new_1_176.mat,0.023755
new_1_177.mat,0.344344
new_1_178.mat,0.702712
new_1_179.mat,0.097226
new_1_180.mat,0.484739
new_1_181.mat,0.829905
new_1_182.mat,0.729203
new_1_183.mat,0.011819
new_1_184.mat,0.344344
new_1_185.mat,0.203707
new_1_186.mat,0.969849
new_1_187.mat,0.216583
new_1_188.mat,0.001551
new_1_189.mat,0.300017
new_1_190.mat,0.715208
new_1_191.mat,0.000202
new_1_192.mat,0.064966
new_1_193.mat,0.779056
new_1_194.mat,0.692559
new_1_195.mat,0.013817
new_1_196.mat,0.552441
new_1_197.mat,0.129360
new_1_198.mat,0.117865
new_1_199.mat,0.932769
new_1_200.mat,0.009010
new_1_201.mat,0.501436
new_1_202.mat,0.344344
new_1_203.mat,0.016168
new_1_204.mat,0.844586
new_1_205.mat,0.344344
new_1_206.mat,0.005874
new_1_207.mat,0.005095
new_1_208.mat,0.479333
new_1_209.mat,0.344344
new_1_210.mat,0.000541
new_1_211.mat,0.000619
