File,Class
new_1_1.mat,0.836341
new_1_2.mat,0.722905
new_1_3.mat,0.295200
new_1_4.mat,0.024904
new_1_5.mat,0.877279
new_1_6.mat,0.923431
new_1_7.mat,0.399708
new_1_8.mat,0.051189
new_1_9.mat,0.631953
new_1_10.mat,0.498788
new_1_11.mat,0.039213
new_1_12.mat,0.093235
new_1_13.mat,0.399708
new_1_14.mat,0.516123
new_1_15.mat,0.466259
new_1_16.mat,0.509405
new_1_17.mat,0.659416
new_1_18.mat,0.399708
new_1_19.mat,0.344544
new_1_20.mat,0.399708
new_1_21.mat,0.399708
new_1_22.mat,0.729099
new_1_23.mat,0.475743
new_1_24.mat,0.662431
new_1_25.mat,0.122680
new_1_26.mat,0.705049
new_1_27.mat,0.512414
new_1_28.mat,0.104127
new_1_29.mat,0.788809
new_1_30.mat,0.714886
new_1_31.mat,0.142189
new_1_32.mat,0.258776
new_1_33.mat,0.093531
new_1_34.mat,0.399708
new_1_35.mat,0.411073
new_1_36.mat,0.734230
new_1_37.mat,0.285520
new_1_38.mat,0.093642
new_1_39.mat,0.467040
new_1_40.mat,0.059872
new_1_41.mat,0.178510
new_1_42.mat,0.484445
new_1_43.mat,0.268930
new_1_44.mat,0.822892
new_1_45.mat,0.399708
new_1_46.mat,0.772873
new_1_47.mat,0.568591
new_1_48.mat,0.492063
new_1_49.mat,0.275539
new_1_50.mat,0.678513
new_1_51.mat,0.106165
new_1_52.mat,0.615841
new_1_53.mat,0.074194
new_1_54.mat,0.062522
new_1_55.mat,0.818783
new_1_56.mat,0.500673
new_1_57.mat,0.007475
new_1_58.mat,0.033806
new_1_59.mat,0.027358
new_1_60.mat,0.054917
new_1_61.mat,0.066165
new_1_62.mat,0.501796
new_1_63.mat,0.047676
new_1_64.mat,0.611288
new_1_65.mat,0.482828
new_1_66.mat,0.871229
new_1_67.mat,0.087211
new_1_68.mat,0.312191
new_1_69.mat,0.166660
new_1_70.mat,0.059800
new_1_71.mat,0.106572
new_1_72.mat,0.399708
new_1_73.mat,0.534156
new_1_74.mat,0.238984
new_1_75.mat,0.015103
new_1_76.mat,0.840545
new_1_77.mat,0.081515
new_1_78.mat,0.544342
new_1_79.mat,0.830870
new_1_80.mat,0.548562
new_1_81.mat,0.052684
new_1_82.mat,0.056918
new_1_83.mat,0.716263
new_1_84.mat,0.399708
new_1_85.mat,0.214803
new_1_86.mat,0.800202
new_1_87.mat,0.316122
new_1_88.mat,0.507026
new_1_89.mat,0.047768
new_1_90.mat,0.056574
new_1_91.mat,0.327433
new_1_92.mat,0.774768
new_1_93.mat,0.390781
new_1_94.mat,0.858478
new_1_95.mat,0.442608
new_1_96.mat,0.129551
new_1_97.mat,0.112121
new_1_98.mat,0.399708
new_1_99.mat,0.015812
new_1_100.mat,0.948499
new_1_101.mat,0.610732
new_1_102.mat,0.073247
new_1_103.mat,0.026706
new_1_104.mat,0.892060
new_1_105.mat,0.691408
new_1_106.mat,0.188569
new_1_107.mat,0.182079
new_1_108.mat,0.670143
new_1_109.mat,0.606277
new_1_110.mat,0.037267
new_1_111.mat,0.456240
new_1_112.mat,0.119743
new_1_113.mat,0.843565
new_1_114.mat,0.022378
new_1_115.mat,0.306369
new_1_116.mat,0.076060
new_1_117.mat,0.716877
new_1_118.mat,0.356588
new_1_119.mat,0.882167
new_1_120.mat,0.491656
new_1_121.mat,0.773648
new_1_122.mat,0.518754
new_1_123.mat,0.239424
new_1_124.mat,0.152113
new_1_125.mat,0.722152
new_1_126.mat,0.554969
new_1_127.mat,0.758556
new_1_128.mat,0.917042
new_1_129.mat,0.357129
new_1_130.mat,0.015114
new_1_131.mat,0.754994
new_1_132.mat,0.545450
new_1_133.mat,0.860590
new_1_134.mat,0.656228
new_1_135.mat,0.061941
new_1_136.mat,0.477835
new_1_137.mat,0.116368
new_1_138.mat,0.567650
new_1_139.mat,0.665390
new_1_140.mat,0.139908
new_1_141.mat,0.095543
new_1_142.mat,0.526810
new_1_143.mat,0.170482
new_1_144.mat,0.804500
new_1_145.mat,0.538162
new_1_146.mat,0.742737
new_1_147.mat,0.399708
new_1_148.mat,0.389083
new_1_149.mat,0.129000
new_1_150.mat,0.031796
new_1_151.mat,0.860683
new_1_152.mat,0.119718
new_1_153.mat,0.499211
new_1_154.mat,0.096831
new_1_155.mat,0.022848
new_1_156.mat,0.070322
new_1_157.mat,0.184420
new_1_158.mat,0.142472
new_1_159.mat,0.540279
new_1_160.mat,0.084839
new_1_161.mat,0.398692
new_1_162.mat,0.120656
new_1_163.mat,0.560428
new_1_164.mat,0.048224
new_1_165.mat,0.636654
new_1_166.mat,0.745104
new_1_167.mat,0.399708
new_1_168.mat,0.705262
new_1_169.mat,0.681245
new_1_170.mat,0.072595
new_1_171.mat,0.077212
new_1_172.mat,0.036901
new_1_173.mat,0.376611
new_1_174.mat,0.760889
new_1_175.mat,0.254573
new_1_176.mat,0.452655
new_1_177.mat,0.399708
new_1_178.mat,0.670542
new_1_179.mat,0.377765
new_1_180.mat,0.470870
new_1_181.mat,0.845245
new_1_182.mat,0.813321
new_1_183.mat,0.034512
new_1_184.mat,0.399708
new_1_185.mat,0.531866
new_1_186.mat,0.939345
new_1_187.mat,0.351090
new_1_188.mat,0.017455
new_1_189.mat,0.425304
new_1_190.mat,0.476813
new_1_191.mat,0.060166
new_1_192.mat,0.113717
new_1_193.mat,0.775877
new_1_194.mat,0.571367
new_1_195.mat,0.305978
new_1_196.mat,0.565445
new_1_197.mat,0.233352
new_1_198.mat,0.103754
new_1_199.mat,0.915524
new_1_200.mat,0.194607
new_1_201.mat,0.509116
new_1_202.mat,0.399708
new_1_203.mat,0.077204
new_1_204.mat,0.819533
new_1_205.mat,0.399708
new_1_206.mat,0.107838
new_1_207.mat,0.091411
new_1_208.mat,0.369296
new_1_209.mat,0.399708
new_1_210.mat,0.032368
new_1_211.mat,0.074773
new_1_212.mat,0.018448
new_1_213.mat,0.909052
new_1_214.mat,0.109304
new_1_215.mat,0.854746
new_1_216.mat,0.280833
new_2_1.mat,0.144734
new_2_2.mat,0.003970
new_2_3.mat,0.551592
new_2_4.mat,0.367066
new_2_5.mat,0.010909
new_2_6.mat,0.460912
new_2_7.mat,0.233907
new_2_8.mat,0.070101
new_2_9.mat,0.064621
new_2_10.mat,0.665383
new_2_11.mat,0.060363
new_2_12.mat,0.286285
new_2_13.mat,0.073686
new_2_14.mat,0.354145
new_2_15.mat,0.533666
new_2_16.mat,0.232196
new_2_17.mat,0.051448
new_2_18.mat,0.473873
new_2_19.mat,0.036445
new_2_20.mat,0.069287
new_2_21.mat,0.174860
new_2_22.mat,0.217474
new_2_23.mat,0.177072
new_2_24.mat,0.107289
new_2_25.mat,0.003890
new_2_26.mat,0.243438
new_2_27.mat,0.186805
new_2_28.mat,0.254884
new_2_29.mat,0.293402
new_2_30.mat,0.252473
new_2_31.mat,0.296188
new_2_32.mat,0.151487
new_2_33.mat,0.562620
new_2_34.mat,0.131312
new_2_35.mat,0.201616
new_2_36.mat,0.117060
new_2_37.mat,0.065072
new_2_38.mat,0.630602
new_2_39.mat,0.181512
new_2_40.mat,0.013736
new_2_41.mat,0.076200
new_2_42.mat,0.011711
new_2_43.mat,0.150201
new_2_44.mat,0.396776
new_2_45.mat,0.068120
new_2_46.mat,0.404507
new_2_47.mat,0.690528
new_2_48.mat,0.203452
new_2_49.mat,0.474804
new_2_50.mat,0.073979
new_2_51.mat,0.389925
new_2_52.mat,0.169826
new_2_53.mat,0.528699
new_2_54.mat,0.483620
new_2_55.mat,0.241983
new_2_56.mat,0.014251
new_2_57.mat,0.066558
new_2_58.mat,0.117594
new_2_59.mat,0.231848
new_2_60.mat,0.035452
new_2_61.mat,0.173567
new_2_62.mat,0.286243
new_2_63.mat,0.421150
new_2_64.mat,0.143159
new_2_65.mat,0.072616
new_2_66.mat,0.204263
new_2_67.mat,0.079546
new_2_68.mat,0.185714
new_2_69.mat,0.182625
new_2_70.mat,0.130258
new_2_71.mat,0.103574
new_2_72.mat,0.017764
new_2_73.mat,0.252300
new_2_74.mat,0.283868
new_2_75.mat,0.460268
new_2_76.mat,0.288188
new_2_77.mat,0.486773
new_2_78.mat,0.588098
new_2_79.mat,0.166557
new_2_80.mat,0.186912
new_2_81.mat,0.038553
new_2_82.mat,0.191323
new_2_83.mat,0.205246
new_2_84.mat,0.192457
new_2_85.mat,0.119248
new_2_86.mat,0.043069
new_2_87.mat,0.252133
new_2_88.mat,0.728630
new_2_89.mat,0.238674
new_2_90.mat,0.654273
new_2_91.mat,0.313751
new_2_92.mat,0.163525
new_2_93.mat,0.135267
new_2_94.mat,0.243438
new_2_95.mat,0.016852
new_2_96.mat,0.449099
new_2_97.mat,0.071347
new_2_98.mat,0.210128
new_2_99.mat,0.480890
new_2_100.mat,0.222893
new_2_101.mat,0.516448
new_2_102.mat,0.339064
new_2_103.mat,0.073010
new_2_104.mat,0.204479
new_2_105.mat,0.573577
new_2_106.mat,0.029697
new_2_107.mat,0.000314
new_2_108.mat,0.205840
new_2_109.mat,0.148298
new_2_110.mat,0.478080
new_2_111.mat,0.180457
new_2_112.mat,0.089764
new_2_113.mat,0.367600
new_2_114.mat,0.106709
new_2_115.mat,0.466143
new_2_116.mat,0.071985
new_2_117.mat,0.100242
new_2_118.mat,0.460629
new_2_119.mat,0.312895
new_2_120.mat,0.340449
new_2_121.mat,0.175837
