File,Class
new_1_1.mat,1.000000
new_1_2.mat,1.000000
new_1_3.mat,1.000000
new_1_4.mat,1.000000
new_1_5.mat,1.000000
new_1_6.mat,1.000000
new_1_7.mat,1.000000
new_1_8.mat,1.000000
new_1_9.mat,1.000000
new_1_10.mat,1.000000
new_1_11.mat,1.000000
new_1_12.mat,1.000000
new_1_13.mat,1.000000
new_1_14.mat,1.000000
new_1_15.mat,1.000000
new_1_16.mat,1.000000
new_1_17.mat,1.000000
new_1_18.mat,1.000000
new_1_19.mat,1.000000
new_1_20.mat,1.000000
new_1_21.mat,1.000000
new_1_22.mat,1.000000
new_1_23.mat,1.000000
new_1_24.mat,1.000000
new_1_25.mat,1.000000
new_1_26.mat,1.000000
new_1_27.mat,1.000000
new_1_28.mat,1.000000
new_1_29.mat,1.000000
new_1_30.mat,1.000000
new_1_31.mat,1.000000
new_1_32.mat,1.000000
new_1_33.mat,1.000000
new_1_34.mat,1.000000
new_1_35.mat,1.000000
new_1_36.mat,1.000000
new_1_37.mat,1.000000
new_1_38.mat,1.000000
new_1_39.mat,1.000000
new_1_40.mat,1.000000
new_1_41.mat,1.000000
new_1_42.mat,1.000000
new_1_43.mat,1.000000
new_1_44.mat,1.000000
new_1_45.mat,1.000000
new_1_46.mat,1.000000
new_1_47.mat,1.000000
new_1_48.mat,1.000000
new_1_49.mat,1.000000
new_1_50.mat,1.000000
new_1_51.mat,1.000000
new_1_52.mat,1.000000
new_1_53.mat,1.000000
new_1_54.mat,1.000000
new_1_55.mat,1.000000
new_1_56.mat,1.000000
new_1_57.mat,1.000000
new_1_58.mat,1.000000
new_1_59.mat,1.000000
new_1_60.mat,1.000000
new_1_61.mat,1.000000
new_1_62.mat,1.000000
new_1_63.mat,1.000000
new_1_64.mat,1.000000
new_1_65.mat,1.000000
new_1_66.mat,1.000000
new_1_67.mat,1.000000
new_1_68.mat,1.000000
new_1_69.mat,1.000000
new_1_70.mat,1.000000
new_1_71.mat,1.000000
new_1_72.mat,1.000000
new_1_73.mat,1.000000
new_1_74.mat,1.000000
new_1_75.mat,1.000000
new_1_76.mat,1.000000
new_1_77.mat,1.000000
new_1_78.mat,1.000000
new_1_79.mat,1.000000
new_1_80.mat,1.000000
new_1_81.mat,1.000000
new_1_82.mat,1.000000
new_1_83.mat,1.000000
new_1_84.mat,1.000000
new_1_85.mat,1.000000
new_1_86.mat,1.000000
new_1_87.mat,1.000000
new_1_88.mat,1.000000
new_1_89.mat,1.000000
new_1_90.mat,1.000000
new_1_91.mat,1.000000
new_1_92.mat,1.000000
new_1_93.mat,1.000000
new_1_94.mat,1.000000
new_1_95.mat,1.000000
new_1_96.mat,1.000000
new_1_97.mat,1.000000
new_1_98.mat,1.000000
new_1_99.mat,1.000000
new_1_100.mat,1.000000
new_1_101.mat,1.000000
new_1_102.mat,1.000000
new_1_103.mat,1.000000
new_1_104.mat,1.000000
new_1_105.mat,1.000000
new_1_106.mat,1.000000
new_1_107.mat,1.000000
new_1_108.mat,1.000000
new_1_109.mat,1.000000
new_1_110.mat,1.000000
new_1_111.mat,1.000000
new_1_112.mat,1.000000
new_1_113.mat,1.000000
new_1_114.mat,1.000000
new_1_115.mat,1.000000
new_1_116.mat,1.000000
new_1_117.mat,1.000000
new_1_118.mat,1.000000
new_1_119.mat,1.000000
new_1_120.mat,1.000000
new_1_121.mat,1.000000
new_1_122.mat,1.000000
new_1_123.mat,1.000000
new_1_124.mat,1.000000
new_1_125.mat,1.000000
new_1_126.mat,1.000000
new_1_127.mat,1.000000
new_1_128.mat,1.000000
new_1_129.mat,1.000000
new_1_130.mat,1.000000
new_1_131.mat,1.000000
new_1_132.mat,1.000000
new_1_133.mat,1.000000
new_1_134.mat,1.000000
new_1_135.mat,1.000000
new_1_136.mat,1.000000
new_1_137.mat,1.000000
new_1_138.mat,1.000000
new_1_139.mat,1.000000
new_1_140.mat,1.000000
new_1_141.mat,1.000000
new_1_142.mat,1.000000
new_1_143.mat,1.000000
new_1_144.mat,1.000000
new_1_145.mat,1.000000
new_1_146.mat,1.000000
new_1_147.mat,1.000000
new_1_148.mat,1.000000
new_1_149.mat,1.000000
new_1_150.mat,1.000000
new_1_151.mat,1.000000
new_1_152.mat,1.000000
new_1_153.mat,1.000000
new_1_154.mat,1.000000
new_1_155.mat,1.000000
new_1_156.mat,1.000000
new_1_157.mat,1.000000
new_1_158.mat,1.000000
new_1_159.mat,1.000000
new_1_160.mat,1.000000
new_1_161.mat,1.000000
new_1_162.mat,1.000000
new_1_163.mat,1.000000
new_1_164.mat,1.000000
new_1_165.mat,1.000000
new_1_166.mat,1.000000
new_1_167.mat,1.000000
new_1_168.mat,1.000000
new_1_169.mat,1.000000
new_1_170.mat,1.000000
new_1_171.mat,1.000000
new_1_172.mat,1.000000
new_1_173.mat,1.000000
new_1_174.mat,1.000000
new_1_175.mat,1.000000
new_1_176.mat,1.000000
new_1_177.mat,1.000000
new_1_178.mat,1.000000
new_1_179.mat,1.000000
new_1_180.mat,1.000000
new_1_181.mat,1.000000
new_1_182.mat,1.000000
new_1_183.mat,1.000000
new_1_184.mat,1.000000
new_1_185.mat,1.000000
new_1_186.mat,1.000000
new_1_187.mat,1.000000
new_1_188.mat,1.000000
new_1_189.mat,1.000000
new_1_190.mat,1.000000
new_1_191.mat,1.000000
new_1_192.mat,1.000000
new_1_193.mat,1.000000
new_1_194.mat,1.000000
new_1_195.mat,1.000000
new_1_196.mat,1.000000
new_1_197.mat,1.000000
new_1_198.mat,1.000000
new_1_199.mat,1.000000
new_1_200.mat,1.000000
new_1_201.mat,1.000000
new_1_202.mat,1.000000
new_1_203.mat,1.000000
new_1_204.mat,1.000000
new_1_205.mat,1.000000
new_1_206.mat,1.000000
new_1_207.mat,1.000000
new_1_208.mat,1.000000
new_1_209.mat,1.000000
new_1_210.mat,1.000000
new_1_211.mat,1.000000
new_1_212.mat,1.000000
new_1_213.mat,1.000000
new_1_214.mat,1.000000
new_1_215.mat,1.000000
new_1_216.mat,1.000000
new_2_1.mat,0.074034
new_2_2.mat,0.000000
new_2_3.mat,0.142343
new_2_4.mat,0.118778
new_2_5.mat,0.000000
new_2_6.mat,0.059101
new_2_7.mat,0.003916
new_2_8.mat,0.048645
new_2_9.mat,0.000001
new_2_10.mat,0.084954
new_2_11.mat,0.000001
new_2_12.mat,0.089411
new_2_13.mat,0.004408
new_2_14.mat,0.103935
new_2_15.mat,0.105302
new_2_16.mat,0.000143
new_2_17.mat,0.000023
new_2_18.mat,0.001657
new_2_19.mat,0.000017
new_2_20.mat,0.010826
new_2_21.mat,0.000002
new_2_22.mat,0.019540
new_2_23.mat,0.087103
new_2_24.mat,0.000000
new_2_25.mat,0.001098
new_2_26.mat,0.000000
new_2_27.mat,0.002961
new_2_28.mat,0.164527
new_2_29.mat,0.105418
new_2_30.mat,0.085485
new_2_31.mat,0.005010
new_2_32.mat,0.000014
new_2_33.mat,0.159894
new_2_34.mat,0.000027
new_2_35.mat,0.042519
new_2_36.mat,0.000229
new_2_37.mat,0.000066
new_2_38.mat,0.122951
new_2_39.mat,0.000568
new_2_40.mat,0.000029
new_2_41.mat,0.000364
new_2_42.mat,0.000000
new_2_43.mat,0.000177
new_2_44.mat,0.000000
new_2_45.mat,0.000000
new_2_46.mat,0.001800
new_2_47.mat,0.068123
new_2_48.mat,0.061684
new_2_49.mat,0.058553
new_2_50.mat,0.047598
new_2_51.mat,0.048818
new_2_52.mat,0.000078
new_2_53.mat,0.168447
new_2_54.mat,0.249271
new_2_55.mat,0.037415
new_2_56.mat,0.009444
new_2_57.mat,0.000042
new_2_58.mat,0.000005
new_2_59.mat,0.000695
new_2_60.mat,0.000006
new_2_61.mat,0.000220
new_2_62.mat,0.120687
new_2_63.mat,0.035571
new_2_64.mat,0.000012
new_2_65.mat,0.000000
new_2_66.mat,0.000195
new_2_67.mat,0.000001
new_2_68.mat,0.097265
new_2_69.mat,0.000000
new_2_70.mat,0.057304
new_2_71.mat,0.040781
new_2_72.mat,0.000124
new_2_73.mat,0.004151
new_2_74.mat,0.000146
new_2_75.mat,0.114458
new_2_76.mat,0.000507
new_2_77.mat,0.295993
new_2_78.mat,0.000185
new_2_79.mat,0.008494
new_2_80.mat,0.133514
new_2_81.mat,0.003497
new_2_82.mat,0.069793
new_2_83.mat,0.013089
new_2_84.mat,0.005268
new_2_85.mat,0.000017
new_2_86.mat,0.000073
new_2_87.mat,0.072036
new_2_88.mat,0.113751
new_2_89.mat,0.055998
new_2_90.mat,0.052154
new_2_91.mat,0.197636
new_2_92.mat,0.097080
new_2_93.mat,0.088902
new_2_94.mat,0.000000
new_2_95.mat,0.000378
new_2_96.mat,0.002391
new_2_97.mat,0.017069
new_2_98.mat,0.050907
new_2_99.mat,0.104095
new_2_100.mat,0.003291
new_2_101.mat,0.092695
new_2_102.mat,0.113723
new_2_103.mat,0.006858
new_2_104.mat,0.000002
new_2_105.mat,0.004610
new_2_106.mat,0.000000
new_2_107.mat,0.000000
new_2_108.mat,0.048820
new_2_109.mat,0.055307
new_2_110.mat,0.032932
new_2_111.mat,0.000000
new_2_112.mat,0.068327
new_2_113.mat,0.053838
new_2_114.mat,0.006951
new_2_115.mat,0.255000
new_2_116.mat,0.030155
new_2_117.mat,0.096060
new_2_118.mat,0.037403
new_2_119.mat,0.000030
new_2_120.mat,0.152599
new_2_121.mat,0.002384
new_2_122.mat,0.000052
new_2_123.mat,0.008264
new_2_124.mat,0.000002
new_2_125.mat,0.000111
new_2_126.mat,0.000145
new_2_127.mat,0.000458
new_2_128.mat,0.339644
new_2_129.mat,0.056803
new_2_130.mat,0.000089
new_2_131.mat,0.007440
new_2_132.mat,0.000091
new_2_133.mat,0.238255
new_2_134.mat,0.000108
new_2_135.mat,0.001716
new_2_136.mat,0.066907
new_2_137.mat,0.003267
new_2_138.mat,0.014597
new_2_139.mat,0.000203
new_2_140.mat,0.000000
new_2_141.mat,0.000070
new_2_142.mat,0.000000
new_2_143.mat,0.148916
new_2_144.mat,0.002207
new_2_145.mat,0.222351
new_2_146.mat,0.070005
new_2_147.mat,0.000010
new_2_148.mat,0.000000
new_2_149.mat,0.104550
new_2_150.mat,0.040883
new_2_151.mat,0.049973
new_2_152.mat,0.066378
new_2_153.mat,0.000076
new_2_154.mat,0.079033
new_2_155.mat,0.102055
new_2_156.mat,0.034128
