File,Class
new_1_1.mat,-14.000000
new_1_2.mat,-101.000000
new_1_3.mat,-157.000000
new_1_4.mat,-211.000000
new_1_5.mat,-9.000000
new_1_6.mat,-50.000000
new_1_7.mat,-111.000000
new_1_8.mat,-150.000000
new_1_9.mat,-53.000000
new_1_10.mat,-168.000000
new_1_11.mat,-122.000000
new_1_12.mat,-197.000000
new_1_13.mat,-117.000000
new_1_14.mat,-198.000000
new_1_15.mat,-77.000000
new_1_16.mat,-87.000000
new_1_17.mat,-106.000000
new_1_18.mat,-115.000000
new_1_19.mat,-75.000000
new_1_20.mat,-118.000000
new_1_21.mat,-19.000000
new_1_22.mat,-28.000000
new_1_23.mat,-212.000000
new_1_24.mat,-64.000000
new_1_25.mat,-182.000000
new_1_26.mat,-91.000000
new_1_27.mat,-95.000000
new_1_28.mat,-81.000000
new_1_29.mat,-76.000000
new_1_30.mat,-93.000000
new_1_31.mat,-141.000000
new_1_32.mat,-190.000000
new_1_33.mat,-160.000000
new_1_34.mat,-112.000000
new_1_35.mat,-92.000000
new_1_36.mat,-6.000000
new_1_37.mat,-67.000000
new_1_38.mat,-102.000000
new_1_39.mat,-21.000000
new_1_40.mat,-148.000000
new_1_41.mat,-156.000000
new_1_42.mat,-43.000000
new_1_43.mat,-142.000000
new_1_44.mat,-29.000000
new_1_45.mat,-88.000000
new_1_46.mat,-22.000000
new_1_47.mat,-55.000000
new_1_48.mat,-78.000000
new_1_49.mat,-105.000000
new_1_50.mat,-61.000000
new_1_51.mat,-204.000000
new_1_52.mat,-54.000000
new_1_53.mat,-173.000000
new_1_54.mat,-178.000000
new_1_55.mat,-25.000000
new_1_56.mat,-69.000000
new_1_57.mat,-119.000000
new_1_58.mat,-207.000000
new_1_59.mat,-206.000000
new_1_60.mat,-144.000000
new_1_61.mat,-201.000000
new_1_62.mat,-133.000000
new_1_63.mat,-126.000000
new_1_64.mat,-24.000000
new_1_65.mat,-152.000000
new_1_66.mat,-39.000000
new_1_67.mat,-129.000000
new_1_68.mat,-127.000000
new_1_69.mat,-203.000000
new_1_70.mat,-210.000000
new_1_71.mat,-107.000000
new_1_72.mat,-113.000000
new_1_73.mat,-80.000000
new_1_74.mat,-89.000000
new_1_75.mat,-154.000000
new_1_76.mat,-37.000000
new_1_77.mat,-205.000000
new_1_78.mat,-99.000000
new_1_79.mat,-34.000000
new_1_80.mat,-79.000000
new_1_81.mat,-196.000000
new_1_82.mat,-159.000000
new_1_83.mat,-7.000000
new_1_84.mat,-120.000000
new_1_85.mat,-1.000000
new_1_86.mat,-5.000000
new_1_87.mat,-185.000000
new_1_88.mat,-131.000000
new_1_89.mat,-191.000000
new_1_90.mat,-215.000000
new_1_91.mat,-128.000000
new_1_92.mat,-26.000000
new_1_93.mat,-82.000000
new_1_94.mat,-23.000000
new_1_95.mat,-63.000000
new_1_96.mat,-186.000000
new_1_97.mat,-147.000000
new_1_98.mat,-109.000000
new_1_99.mat,-163.000000
new_1_100.mat,-35.000000
new_1_101.mat,-8.000000
new_1_102.mat,-151.000000
new_1_103.mat,-189.000000
new_1_104.mat,-58.000000
new_1_105.mat,-70.000000
new_1_106.mat,-161.000000
new_1_107.mat,-125.000000
new_1_108.mat,-47.000000
new_1_109.mat,-72.000000
new_1_110.mat,-214.000000
new_1_111.mat,-13.000000
new_1_112.mat,-165.000000
new_1_113.mat,-52.000000
new_1_114.mat,-193.000000
new_1_115.mat,-153.000000
new_1_116.mat,-188.000000
new_1_117.mat,-94.000000
new_1_118.mat,-132.000000
new_1_119.mat,-42.000000
new_1_120.mat,-45.000000
new_1_121.mat,-90.000000
new_1_122.mat,-44.000000
new_1_123.mat,-155.000000
new_1_124.mat,-137.000000
new_1_125.mat,-46.000000
new_1_126.mat,-98.000000
new_1_127.mat,-17.000000
new_1_128.mat,-12.000000
new_1_129.mat,-84.000000
new_1_130.mat,-192.000000
new_1_131.mat,-10.000000
new_1_132.mat,-48.000000
new_1_133.mat,-31.000000
new_1_134.mat,-36.000000
new_1_135.mat,-134.000000
new_1_136.mat,-59.000000
new_1_137.mat,-171.000000
new_1_138.mat,-30.000000
new_1_139.mat,-33.000000
new_1_140.mat,-162.000000
new_1_141.mat,-145.000000
new_1_142.mat,-56.000000
new_1_143.mat,-169.000000
new_1_144.mat,-57.000000
new_1_145.mat,-66.000000
new_1_146.mat,-74.000000
new_1_147.mat,-110.000000
new_1_148.mat,-123.000000
new_1_149.mat,-32.000000
new_1_150.mat,-170.000000
new_1_151.mat,-18.000000
new_1_152.mat,-172.000000
new_1_153.mat,-209.000000
new_1_154.mat,-158.000000
new_1_155.mat,-176.000000
new_1_156.mat,-130.000000
new_1_157.mat,-149.000000
new_1_158.mat,-167.000000
new_1_159.mat,-71.000000
new_1_160.mat,-146.000000
new_1_161.mat,-85.000000
new_1_162.mat,-104.000000
new_1_163.mat,-65.000000
new_1_164.mat,-208.000000
new_1_165.mat,-16.000000
new_1_166.mat,-86.000000
new_1_167.mat,-116.000000
new_1_168.mat,-121.000000
new_1_169.mat,-97.000000
new_1_170.mat,-166.000000
new_1_171.mat,-200.000000
new_1_172.mat,-199.000000
new_1_173.mat,-73.000000
new_1_174.mat,-40.000000
new_1_175.mat,-140.000000
new_1_176.mat,-3.000000
new_1_177.mat,-114.000000
new_1_178.mat,-51.000000
new_1_179.mat,-175.000000
new_1_180.mat,-49.000000
new_1_181.mat,-38.000000
new_1_182.mat,-41.000000
new_1_183.mat,-180.000000
new_1_184.mat,-216.000000
new_1_185.mat,-103.000000
new_1_186.mat,-11.000000
new_1_187.mat,-96.000000
new_1_188.mat,-213.000000
new_1_189.mat,-187.000000
new_1_190.mat,-2.000000
new_1_191.mat,-202.000000
new_1_192.mat,-138.000000
new_1_193.mat,-4.000000
new_1_194.mat,-100.000000
new_1_195.mat,-177.000000
new_1_196.mat,-68.000000
new_1_197.mat,-136.000000
new_1_198.mat,-183.000000
new_1_199.mat,-15.000000
new_1_200.mat,-62.000000
new_1_201.mat,-60.000000
new_1_202.mat,-181.000000
new_1_203.mat,-139.000000
new_1_204.mat,-83.000000
new_1_205.mat,-124.000000
new_1_206.mat,-143.000000
new_1_207.mat,-194.000000
new_1_208.mat,-135.000000
new_1_209.mat,-108.000000
new_1_210.mat,-164.000000
new_1_211.mat,-174.000000
new_1_212.mat,-195.000000
new_1_213.mat,-27.000000
new_1_214.mat,-184.000000
new_1_215.mat,-20.000000
new_1_216.mat,-179.000000
new_2_1.mat,-415.000000
new_2_2.mat,-965.000000
new_2_3.mat,-74.000000
new_2_4.mat,-90.000000
new_2_5.mat,-871.000000
new_2_6.mat,-497.000000
new_2_7.mat,-85.000000
new_2_8.mat,-660.000000
new_2_9.mat,-793.000000
new_2_10.mat,-8.000000
new_2_11.mat,-954.000000
new_2_12.mat,-116.000000
new_2_13.mat,-618.000000
new_2_14.mat,-279.000000
new_2_15.mat,-48.000000
new_2_16.mat,-443.000000
new_2_17.mat,-825.000000
new_2_18.mat,-431.000000
new_2_19.mat,-740.000000
new_2_20.mat,-785.000000
new_2_21.mat,-264.000000
new_2_22.mat,-354.000000
new_2_23.mat,-810.000000
new_2_24.mat,-698.000000
new_2_25.mat,-987.000000
new_2_26.mat,-481.000000
new_2_27.mat,-245.000000
new_2_28.mat,-262.000000
new_2_29.mat,-260.000000
new_2_30.mat,-216.000000
new_2_31.mat,-148.000000
new_2_32.mat,-545.000000
new_2_33.mat,-255.000000
new_2_34.mat,-643.000000
new_2_35.mat,-44.000000
new_2_36.mat,-632.000000
new_2_37.mat,-706.000000
new_2_38.mat,-208.000000
new_2_39.mat,-539.000000
new_2_40.mat,-953.000000
new_2_41.mat,-628.000000
new_2_42.mat,-801.000000
new_2_43.mat,-498.000000
new_2_44.mat,-750.000000
new_2_45.mat,-882.000000
new_2_46.mat,-351.000000
new_2_47.mat,-147.000000
new_2_48.mat,-566.000000
new_2_49.mat,-420.000000
new_2_50.mat,-512.000000
new_2_51.mat,-306.000000
new_2_52.mat,-553.000000
new_2_53.mat,-228.000000
new_2_54.mat,-303.000000
new_2_55.mat,-205.000000
new_2_56.mat,-819.000000
new_2_57.mat,-919.000000
new_2_58.mat,-639.000000
new_2_59.mat,-514.000000
new_2_60.mat,-890.000000
new_2_61.mat,-247.000000
new_2_62.mat,-634.000000
new_2_63.mat,-448.000000
new_2_64.mat,-619.000000
new_2_65.mat,-832.000000
new_2_66.mat,-283.000000
new_2_67.mat,-456.000000
new_2_68.mat,-605.000000
new_2_69.mat,-166.000000
new_2_70.mat,-527.000000
new_2_71.mat,-568.000000
new_2_72.mat,-961.000000
new_2_73.mat,-651.000000
new_2_74.mat,-611.000000
new_2_75.mat,-207.000000
new_2_76.mat,-229.000000
new_2_77.mat,-3.000000
new_2_78.mat,-592.000000
new_2_79.mat,-408.000000
new_2_80.mat,-437.000000
new_2_81.mat,-957.000000
new_2_82.mat,-286.000000
new_2_83.mat,-343.000000
new_2_84.mat,-14.000000
new_2_85.mat,-357.000000
new_2_86.mat,-601.000000
new_2_87.mat,-184.000000
new_2_88.mat,-62.000000
new_2_89.mat,-353.000000
new_2_90.mat,-65.000000
new_2_91.mat,-870.000000
new_2_92.mat,-631.000000
new_2_93.mat,-537.000000
new_2_94.mat,-476.000000
new_2_95.mat,-820.000000
new_2_96.mat,-17.000000
new_2_97.mat,-813.000000
new_2_98.mat,-180.000000
new_2_99.mat,-413.000000
new_2_100.mat,-345.000000
new_2_101.mat,-124.000000
